location,forecast_date,quantile,horizon,target_type,model,prediction,true_value,availability,model_type,target_end_date,population,period_cat
CZ,2021-04-12,0.01,1,Cases,mean_ensemble,10982,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.01,1,Deaths,mean_ensemble,438.666666666667,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.01,2,Cases,mean_ensemble,6696.33333333333,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.01,2,Deaths,mean_ensemble,292.333333333333,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.01,3,Cases,mean_ensemble,4366.33333333333,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.01,3,Deaths,mean_ensemble,161.333333333333,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.01,4,Cases,mean_ensemble,3138.66666666667,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.01,4,Deaths,mean_ensemble,66,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.025,1,Cases,mean_ensemble,12225.6666666667,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.025,1,Deaths,mean_ensemble,469,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.025,2,Cases,mean_ensemble,7856.33333333333,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.025,2,Deaths,mean_ensemble,321.666666666667,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.025,3,Cases,mean_ensemble,5368.33333333333,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.025,3,Deaths,mean_ensemble,188.333333333333,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.025,4,Cases,mean_ensemble,4013.33333333333,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.025,4,Deaths,mean_ensemble,93,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.05,1,Cases,mean_ensemble,13450,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.05,1,Deaths,mean_ensemble,496,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.05,2,Cases,mean_ensemble,9018,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.05,2,Deaths,mean_ensemble,348.333333333333,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.05,3,Cases,mean_ensemble,6370,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.05,3,Deaths,mean_ensemble,214.333333333333,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.05,4,Cases,mean_ensemble,4856.66666666667,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.05,4,Deaths,mean_ensemble,117,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.1,1,Cases,mean_ensemble,15023.3333333333,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.1,1,Deaths,mean_ensemble,528.333333333333,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.1,2,Cases,mean_ensemble,10457,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.1,2,Deaths,mean_ensemble,379.333333333333,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.1,3,Cases,mean_ensemble,7676.33333333333,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.1,3,Deaths,mean_ensemble,245.333333333333,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.1,4,Cases,mean_ensemble,5961,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.1,4,Deaths,mean_ensemble,146.333333333333,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.15,1,Cases,mean_ensemble,16113.3333333333,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.15,1,Deaths,mean_ensemble,552,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.15,2,Cases,mean_ensemble,11561.3333333333,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.15,2,Deaths,mean_ensemble,402.333333333333,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.15,3,Cases,mean_ensemble,8637.33333333333,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.15,3,Deaths,mean_ensemble,270.333333333333,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.15,4,Cases,mean_ensemble,6831.33333333333,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.15,4,Deaths,mean_ensemble,168.333333333333,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.2,1,Cases,mean_ensemble,17070,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.2,1,Deaths,mean_ensemble,572,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.2,2,Cases,mean_ensemble,12489,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.2,2,Deaths,mean_ensemble,420.666666666667,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.2,3,Cases,mean_ensemble,9496,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.2,3,Deaths,mean_ensemble,288.666666666667,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.2,4,Cases,mean_ensemble,7565.33333333333,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.2,4,Deaths,mean_ensemble,188.333333333333,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.25,1,Cases,mean_ensemble,17885,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.25,1,Deaths,mean_ensemble,590,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.25,2,Cases,mean_ensemble,13320.3333333333,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.25,2,Deaths,mean_ensemble,436.666666666667,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.25,3,Cases,mean_ensemble,10273,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.25,3,Deaths,mean_ensemble,306,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.25,4,Cases,mean_ensemble,8238.33333333333,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.25,4,Deaths,mean_ensemble,205.333333333333,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.3,1,Cases,mean_ensemble,18662.3333333333,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.3,1,Deaths,mean_ensemble,606.666666666667,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.3,2,Cases,mean_ensemble,14127.6666666667,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.3,2,Deaths,mean_ensemble,452,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.3,3,Cases,mean_ensemble,10995.3333333333,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.3,3,Deaths,mean_ensemble,322.333333333333,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.3,4,Cases,mean_ensemble,8894.66666666667,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.3,4,Deaths,mean_ensemble,220,331,1,ensemble,2021-05-08,10591323,1
