location,forecast_date,quantile,horizon,target_type,model,prediction,true_value,availability,model_type,target_end_date,population,period_cat
CZ,2021-04-12,0.01,1,Cases,mean_ensemble,11062.6,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.01,1,Deaths,mean_ensemble,385.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.01,2,Cases,mean_ensemble,6424.4,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.01,2,Deaths,mean_ensemble,252,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.025,1,Cases,mean_ensemble,12374.2,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.025,1,Deaths,mean_ensemble,424.75,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.025,2,Cases,mean_ensemble,7637.2,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.025,2,Deaths,mean_ensemble,288.5,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.05,1,Cases,mean_ensemble,13656.2,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.05,1,Deaths,mean_ensemble,459.75,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.05,2,Cases,mean_ensemble,8755.8,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.05,2,Deaths,mean_ensemble,319.25,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.1,1,Cases,mean_ensemble,15299.8,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.1,1,Deaths,mean_ensemble,500.75,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.1,2,Cases,mean_ensemble,10261.6,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.1,2,Deaths,mean_ensemble,356.75,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.15,1,Cases,mean_ensemble,16542,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.15,1,Deaths,mean_ensemble,531,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.15,2,Cases,mean_ensemble,11476.2,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.15,2,Deaths,mean_ensemble,386.5,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.2,1,Cases,mean_ensemble,17560.2,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.2,1,Deaths,mean_ensemble,556,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.2,2,Cases,mean_ensemble,12478.6,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.2,2,Deaths,mean_ensemble,410,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.25,1,Cases,mean_ensemble,18426.2,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.25,1,Deaths,mean_ensemble,579.75,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.25,2,Cases,mean_ensemble,13371.2,17727,1,ensemble,2021-04-24,10591323,1
