location,forecast_date,quantile,horizon,target_type,model,prediction,true_value,availability,model_type,target_end_date,population,period_cat
CZ,2021-04-12,0.01,1,Cases,median_ensemble,12170,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.01,1,Deaths,median_ensemble,300,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.01,2,Cases,median_ensemble,6606,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.01,2,Deaths,median_ensemble,202,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.025,1,Cases,median_ensemble,13174,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.025,1,Deaths,median_ensemble,341,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.025,2,Cases,median_ensemble,8792,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.025,2,Deaths,median_ensemble,233,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.05,1,Cases,median_ensemble,14104,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.05,1,Deaths,median_ensemble,380,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.05,2,Cases,median_ensemble,10671,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.05,2,Deaths,median_ensemble,263,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.1,1,Cases,median_ensemble,15257,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.1,1,Deaths,median_ensemble,431,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.1,2,Cases,median_ensemble,12338,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.1,2,Deaths,median_ensemble,303,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.15,1,Cases,median_ensemble,16089,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.15,1,Deaths,median_ensemble,469,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.15,2,Cases,median_ensemble,13356,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.15,2,Deaths,median_ensemble,339,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.2,1,Cases,median_ensemble,17008,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.2,1,Deaths,median_ensemble,508,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.2,2,Cases,median_ensemble,14240,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.2,2,Deaths,median_ensemble,378,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.25,1,Cases,median_ensemble,18105,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.25,1,Deaths,median_ensemble,549,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.25,2,Cases,median_ensemble,14980,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.25,2,Deaths,median_ensemble,413,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.3,1,Cases,median_ensemble,19090,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.3,1,Deaths,median_ensemble,579,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.3,2,Cases,median_ensemble,15706,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.3,2,Deaths,median_ensemble,452,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.35,1,Cases,median_ensemble,20002,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.35,1,Deaths,median_ensemble,612,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.35,2,Cases,median_ensemble,16413,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.35,2,Deaths,median_ensemble,472,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.4,1,Cases,median_ensemble,20868,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.4,1,Deaths,median_ensemble,631,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.4,2,Cases,median_ensemble,17104,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.4,2,Deaths,median_ensemble,484,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.45,1,Cases,median_ensemble,21706,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.45,1,Deaths,median_ensemble,643,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.45,2,Cases,median_ensemble,17775,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.45,2,Deaths,median_ensemble,493,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.5,1,Cases,median_ensemble,22530,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.5,1,Deaths,median_ensemble,672,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.5,2,Cases,median_ensemble,18490,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.5,2,Deaths,median_ensemble,500,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.55,1,Cases,median_ensemble,23355,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.55,1,Deaths,median_ensemble,702,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.55,2,Cases,median_ensemble,19214,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.55,2,Deaths,median_ensemble,525,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.6,1,Cases,median_ensemble,24193,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.6,1,Deaths,median_ensemble,733,662,1,ensemble,2021-04-17,10591323,1
