model,location,target_type,forecast_date,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,target_end_date
median_ensemble,CZ,Cases,2021-03-15,1,5079.67913043478,2978.70086956522,0,2100.97826086957,0.0495652173913044,0.5,10007.5,2021-03-20
median_ensemble,DE,Cases,2021-03-15,1,4046.12869565217,2613.78086956522,1432.34782608696,0,0.0495652173913044,-0.5,6886,2021-03-20
median_ensemble,FR,Cases,2021-03-15,1,17069.5989130435,5294.29456521739,11775.3043478261,0,-0.211304347826087,-0.8,31997,2021-03-20
median_ensemble,GB,Cases,2021-03-15,1,1483.35891304348,1414.20673913043,69.1521739130435,0,0.310434782608696,-0.2,1070.5,2021-03-20
median_ensemble,PL,Cases,2021-03-15,1,7623.13043478261,5892.39130434783,1730.73913043478,0,0.136521739130435,-0.4,18301,2021-03-20
median_ensemble,CZ,Deaths,2021-03-15,1,68.5339130434783,39.1208695652174,0,29.4130434782609,-0.0373913043478261,0.6,135.5,2021-03-20
median_ensemble,DE,Deaths,2021-03-15,1,122.805869565217,85.9363043478261,0,36.8695652173913,0.136521739130435,0.4,212,2021-03-20
median_ensemble,FR,Deaths,2021-03-15,1,86.0860869565217,79.0860869565217,7,0,0.223478260869565,-0.3,59,2021-03-20
median_ensemble,GB,Deaths,2021-03-15,1,78.3604347826087,56.7517391304348,21.6086956521739,0,0.223478260869565,-0.3,127,2021-03-20
median_ensemble,PL,Deaths,2021-03-15,1,95.5430434782609,94.8473913043478,0.695652173913044,0,0.397391304347826,-0.1,16,2021-03-20
median_ensemble,CZ,Cases,2021-03-15,2,10256.5608695652,5307.56086956522,0,4949,-0.0373913043478261,0.6,19755,2021-03-27
median_ensemble,DE,Cases,2021-03-15,2,8550.31260869565,5872.74739130435,2677.5652173913,0,0.136521739130435,-0.4,15638,2021-03-27
median_ensemble,FR,Cases,2021-03-15,2,41471.2217391304,8601.26521739131,32869.9565217391,0,-0.298260869565217,-0.9,68650,2021-03-27
median_ensemble,GB,Cases,2021-03-15,2,3414.53130434783,3050.46608695652,364.065217391304,0,0.223478260869565,-0.3,4039.5,2021-03-27
median_ensemble,PL,Cases,2021-03-15,2,12391.6017391304,10606.7756521739,1784.82608695652,0,0.223478260869565,-0.3,19235,2021-03-27
median_ensemble,CZ,Deaths,2021-03-15,2,225.063043478261,59.6717391304348,0,165.391304347826,-0.298260869565217,0.9,363,2021-03-27
median_ensemble,DE,Deaths,2021-03-15,2,146.616304347826,84.9423913043478,0,61.6739130434783,0.0495652173913044,0.5,263.5,2021-03-27
median_ensemble,FR,Deaths,2021-03-15,2,330.13652173913,100.919130434783,229.217391304348,0,-0.124347826086957,-0.7,622,2021-03-27
median_ensemble,GB,Deaths,2021-03-15,2,73.7856521739131,52.0030434782609,21.7826086956522,0,0.136521739130435,-0.4,107,2021-03-27
median_ensemble,PL,Deaths,2021-03-15,2,166.057173913043,146.905,19.1521739130435,0,0.223478260869565,-0.3,208.5,2021-03-27
median_ensemble,CZ,Cases,2021-03-15,3,14212.2732608696,7558.14282608696,0,6654.13043478261,-0.0373913043478261,0.6,27679,2021-04-03
median_ensemble,DE,Cases,2021-03-15,3,11809.92,11113.572173913,696.347826086957,0,0.310434782608696,-0.2,9572,2021-04-03
median_ensemble,FR,Cases,2021-03-15,3,21455.3354347826,11508.3136956522,9947.02173913043,0,-0.0373913043478261,-0.6,38720.5,2021-04-03
median_ensemble,GB,Cases,2021-03-15,3,4981.35021739131,4729.11108695652,0,252.239130434783,0.310434782608696,0.2,3732.5,2021-04-03
median_ensemble,PL,Cases,2021-03-15,3,11822.5747826087,11476.4008695652,0,346.173913043478,0.223478260869565,0.3,3560,2021-04-03
median_ensemble,CZ,Deaths,2021-03-15,3,303.799130434783,84.7991304347826,0,219,-0.298260869565217,0.9,487,2021-04-03
median_ensemble,DE,Deaths,2021-03-15,3,271.964565217391,121.486304347826,0,150.478260869565,-0.124347826086957,0.7,498,2021-04-03
median_ensemble,FR,Deaths,2021-03-15,3,184.094347826087,131.83347826087,52.2608695652174,0,0.0495652173913044,-0.5,286,2021-04-03
median_ensemble,GB,Deaths,2021-03-15,3,44.2095652173913,42.8182608695652,0,1.39130434782609,0.310434782608696,0.2,20,2021-04-03
median_ensemble,PL,Deaths,2021-03-15,3,229.25847826087,217.084565217391,12.1739130434783,0,0.310434782608696,-0.2,219,2021-04-03
median_ensemble,CZ,Cases,2021-03-15,4,17997.3563043478,9426.79108695652,0,8570.5652173913,-0.124347826086957,0.7,33010,2021-04-10
median_ensemble,DE,Cases,2021-03-15,4,20082.6639130435,17533.0552173913,0,2549.60869565217,0.223478260869565,0.3,17997,2021-04-10
median_ensemble,FR,Cases,2021-03-15,4,14526.58,14088.8408695652,437.739130434783,0,0.310434782608696,-0.2,7741,2021-04-10
median_ensemble,GB,Cases,2021-03-15,4,10951.9215217391,6245.59543478261,0,4706.32608695652,-0.124347826086957,0.7,18572.5,2021-04-10
median_ensemble,PL,Cases,2021-03-15,4,53375.9204347826,16329.3552173913,0,37046.5652173913,-0.211304347826087,0.8,85019,2021-04-10
median_ensemble,CZ,Deaths,2021-03-15,4,416.015434782609,105.102391304348,0,310.913043478261,-0.385217391304348,0.95,638,2021-04-10
median_ensemble,DE,Deaths,2021-03-15,4,253.967391304348,140.923913043478,0,113.04347826087,0.0495652173913044,0.5,484,2021-04-10
median_ensemble,FR,Deaths,2021-03-15,4,273.61652173913,163.268695652174,110.347826086957,0,0.0495652173913044,-0.5,480,2021-04-10
median_ensemble,GB,Deaths,2021-03-15,4,44.6021739130435,44.5586956521739,0.0434782608695652,0,0.397391304347826,-0.1,1,2021-04-10
median_ensemble,PL,Deaths,2021-03-15,4,321.777391304348,310.190434782609,11.5869565217391,0,0.397391304347826,-0.1,266.5,2021-04-10
median_ensemble,CZ,Cases,2021-03-22,1,8442.22,3232.63304347826,0,5209.58695652174,-0.124347826086957,0.7,16749.5,2021-03-27
median_ensemble,DE,Cases,2021-03-22,1,4341.30195652174,3221.93239130435,0,1119.36956521739,0.136521739130435,0.4,6174.5,2021-03-27
median_ensemble,FR,Cases,2021-03-22,1,42475.7267391304,9633.705,32842.0217391304,0,-0.298260869565217,-0.9,76655.5,2021-03-27
median_ensemble,GB,Cases,2021-03-22,1,1246.13195652174,1201.78413043478,44.3478260869565,0,0.310434782608696,-0.2,824,2021-03-27
median_ensemble,PL,Cases,2021-03-22,1,7509.29173913043,6164.24826086957,0,1345.04347826087,0.223478260869565,0.3,11738,2021-03-27
median_ensemble,CZ,Deaths,2021-03-22,1,128.891086956522,47.9345652173913,0,80.9565217391304,-0.211304347826087,0.8,232,2021-03-27
median_ensemble,DE,Deaths,2021-03-22,1,104.67,60.4091304347826,0,44.2608695652174,-0.0373913043478261,0.6,190,2021-03-27
median_ensemble,FR,Deaths,2021-03-22,1,397.176086956522,101.263043478261,295.913043478261,0,-0.298260869565217,-0.9,722,2021-03-27
median_ensemble,GB,Deaths,2021-03-22,1,62.4521739130435,34.5391304347826,27.9130434782609,0,0.0495652173913044,-0.5,104,2021-03-27
median_ensemble,PL,Deaths,2021-03-22,1,118.254347826087,96.3630434782609,21.8913043478261,0,0.223478260869565,-0.3,196.5,2021-03-27
median_ensemble,CZ,Cases,2021-03-22,2,13453.7217391304,4917.93913043478,0,8535.78260869565,-0.211304347826087,0.8,23881,2021-04-03
median_ensemble,DE,Cases,2021-03-22,2,17980.6391304348,7108.61739130435,0,10872.0217391304,-0.211304347826087,0.8,32755.5,2021-04-03
median_ensemble,FR,Cases,2021-03-22,2,23680.6736956522,13259.6519565217,10421.0217391304,0,0.0495652173913044,-0.5,46784.5,2021-04-03
median_ensemble,GB,Cases,2021-03-22,2,4788.97282608696,2408.49456521739,0,2380.47826086957,-0.124347826086957,0.7,8621,2021-04-03
median_ensemble,PL,Cases,2021-03-22,2,33758.6665217391,12222.0143478261,0,21536.652173913,-0.211304347826087,0.8,62761,2021-04-03
median_ensemble,CZ,Deaths,2021-03-22,2,215.02,47.6504347826087,0,167.369565217391,-0.298260869565217,0.9,350.5,2021-04-03
median_ensemble,DE,Deaths,2021-03-22,2,292.741304347826,78.9804347826087,0,213.760869565217,-0.298260869565217,0.9,470.5,2021-04-03
median_ensemble,FR,Deaths,2021-03-22,2,232.210434782609,124.558260869565,107.652173913043,0,0.0495652173913044,-0.5,440,2021-04-03
median_ensemble,GB,Deaths,2021-03-22,2,39.4569565217391,35.8482608695652,3.60869565217391,0,0.223478260869565,-0.3,27,2021-04-03
median_ensemble,PL,Deaths,2021-03-22,2,195.023913043478,189.132608695652,0,5.89130434782609,0.310434782608696,0.2,108.5,2021-04-03
median_ensemble,CZ,Cases,2021-03-22,3,16043.6376086957,6077.02891304348,0,9966.60869565217,-0.211304347826087,0.8,26812,2021-04-10
median_ensemble,DE,Cases,2021-03-22,3,50338.4969565217,13188.1056521739,0,37150.3913043478,-0.298260869565217,0.9,82547,2021-04-10
median_ensemble,FR,Cases,2021-03-22,3,15922.4410869565,15516.8106521739,405.630434782609,0,0.310434782608696,-0.2,8914.5,2021-04-10
median_ensemble,GB,Cases,2021-03-22,3,17296.3519565217,3714.35195652174,0,13582,-0.559130434782609,1,25011,2021-04-10
median_ensemble,PL,Cases,2021-03-22,3,114321.07826087,19266.2956521739,0,95054.7826086957,-0.559130434782609,1,170566,2021-04-10
median_ensemble,CZ,Deaths,2021-03-22,3,317.692826086957,64.7363043478261,0,252.95652173913,-0.298260869565217,0.9,490,2021-04-10
median_ensemble,DE,Deaths,2021-03-22,3,289.437391304348,76.4591304347826,0,212.978260869565,-0.211304347826087,0.8,548.5,2021-04-10
median_ensemble,FR,Deaths,2021-03-22,3,350.529130434783,150.963913043478,199.565217391304,0,-0.0373913043478261,-0.6,688,2021-04-10
median_ensemble,GB,Deaths,2021-03-22,3,41.4526086956522,40.9308695652174,0.521739130434783,0,0.310434782608696,-0.2,10,2021-04-10
median_ensemble,PL,Deaths,2021-03-22,3,291.91347826087,277.239565217391,0,14.6739130434783,0.310434782608696,0.2,237.5,2021-04-10
median_ensemble,CZ,Cases,2021-03-22,4,14768.1186956522,6479.64043478261,0,8288.47826086957,-0.298260869565217,0.9,24248,2021-04-17
median_ensemble,DE,Cases,2021-03-22,4,49342.9708695652,19536.0143478261,0,29806.9565217391,-0.211304347826087,0.8,81199,2021-04-17
median_ensemble,FR,Cases,2021-03-22,4,75584.0434782609,18010.4347826087,57573.6086956522,0,-0.298260869565217,-0.9,145031,2021-04-17
median_ensemble,GB,Cases,2021-03-22,4,10462.9563043478,5020.36934782609,0,5442.58695652174,-0.211304347826087,0.8,17548.5,2021-04-17
median_ensemble,PL,Cases,2021-03-22,4,148317.561304348,24962.6047826087,0,123354.956521739,-0.559130434782609,1,213858,2021-04-17
median_ensemble,CZ,Deaths,2021-03-22,4,390.933913043478,81.7817391304348,0,309.152173913044,-0.385217391304348,0.95,579.5,2021-04-17
median_ensemble,DE,Deaths,2021-03-22,4,456.630434782609,122.434782608696,0,334.195652173913,-0.211304347826087,0.8,842.5,2021-04-17
median_ensemble,FR,Deaths,2021-03-22,4,379.343913043478,182.343913043478,197,0,0.0495652173913044,-0.5,743,2021-04-17
median_ensemble,GB,Deaths,2021-03-22,4,48.2908695652174,47.5082608695652,0,0.782608695652174,0.310434782608696,0.2,12,2021-04-17
median_ensemble,PL,Deaths,2021-03-22,4,414.774782608696,388.579130434783,0,26.195652173913,0.310434782608696,0.2,436.5,2021-04-17
median_ensemble,CZ,Cases,2021-03-29,1,1974.30434782609,1884.04347826087,0,90.2608695652174,0.310434782608696,0.2,1346,2021-04-03
median_ensemble,DE,Cases,2021-03-29,1,10341.7917391304,3871.57434782609,0,6470.21739130435,-0.124347826086957,0.7,20041,2021-04-03
median_ensemble,FR,Cases,2021-03-29,1,42785.0386956522,12545.9517391304,0,30239.0869565217,-0.472173913043478,0.98,57743,2021-04-03
median_ensemble,GB,Cases,2021-03-29,1,3662.3952173913,1522.30826086957,0,2140.08695652174,-0.211304347826087,0.8,6734,2021-04-03
median_ensemble,PL,Cases,2021-03-29,1,19283.787173913,6989.50456521739,0,12294.2826086957,-0.298260869565217,0.9,29816.5,2021-04-03
median_ensemble,CZ,Deaths,2021-03-29,1,57.1934782608696,47.6717391304348,0,9.52173913043478,0.223478260869565,0.3,79,2021-04-03
median_ensemble,DE,Deaths,2021-03-29,1,142.111304347826,83.1982608695652,0,58.9130434782609,-0.0373913043478261,0.6,219,2021-04-03
median_ensemble,FR,Deaths,2021-03-29,1,167.219130434783,139.784347826087,0,27.4347826086957,0.136521739130435,0.4,217,2021-04-03
median_ensemble,GB,Deaths,2021-03-29,1,32.0552173913043,31.7508695652174,0,0.304347826086957,0.397391304347826,0.1,7,2021-04-03
median_ensemble,PL,Deaths,2021-03-29,1,133.007826086957,132.920869565217,0.0869565217391304,0,0.397391304347826,-0.1,2,2021-04-03
median_ensemble,CZ,Cases,2021-03-29,2,2776.24347826087,2179.83043478261,0,596.413043478261,0.136521739130435,0.4,3454.5,2021-04-10
median_ensemble,DE,Cases,2021-03-29,2,35983.9330434783,8308.71565217391,0,27675.2173913044,-0.298260869565217,0.9,63006,2021-04-10
median_ensemble,FR,Cases,2021-03-29,2,93868.567826087,22639.2634782609,0,71229.3043478261,-0.385217391304348,0.95,126948,2021-04-10
median_ensemble,GB,Cases,2021-03-29,2,16582.62,1968.62,0,14614,-0.559130434782609,1,22406,2021-04-10
median_ensemble,PL,Cases,2021-03-29,2,97504.147826087,12808.9304347826,0,84695.2173913044,-0.559130434782609,1,126618,2021-04-10
median_ensemble,CZ,Deaths,2021-03-29,2,90.3182608695652,51.84,0,38.4782608695652,-0.0373913043478261,0.6,155,2021-04-10
median_ensemble,DE,Deaths,2021-03-29,2,141.524347826087,84.524347826087,0,57,0.0495652173913044,0.5,245,2021-04-10
median_ensemble,FR,Deaths,2021-03-29,2,242.093043478261,210.745217391304,0,31.3478260869565,0.223478260869565,0.3,315,2021-04-10
median_ensemble,GB,Deaths,2021-03-29,2,41.4578260869565,34.6317391304348,0,6.82608695652174,0.223478260869565,0.3,57,2021-04-10
median_ensemble,PL,Deaths,2021-03-29,2,257.719782608696,228.74152173913,0,28.9782608695652,0.310434782608696,0.2,446.5,2021-04-10
median_ensemble,CZ,Cases,2021-03-29,3,2781.62826086957,2373.54130434783,0,408.086956521739,0.223478260869565,0.3,3178,2021-04-17
median_ensemble,DE,Cases,2021-03-29,3,32329.4334782609,14675.5639130435,0,17653.8695652174,-0.124347826086957,0.7,65763,2021-04-17
median_ensemble,FR,Cases,2021-03-29,3,40318.8334782609,36395.0943478261,0,3923.73913043478,0.223478260869565,0.3,30882,2021-04-17
median_ensemble,GB,Cases,2021-03-29,3,8168.54,2538.88782608696,0,5629.65217391304,-0.211304347826087,0.8,14682,2021-04-17
