model,location,target_type,forecast_date,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,target_end_date
CovidMetrics-epiBATS,DE,Cases,2021-06-07,1,1863.94086956522,1799.72347826087,0,64.2173913043478,0.310434782608696,0.2,1201,2021-06-12
CovidMetrics-epiBATS,DE,Cases,2021-06-07,2,4976.28347826087,3766.54434782609,0,1209.73913043478,0.136521739130435,0.4,8172,2021-06-19
CovidMetrics-epiBATS,DE,Cases,2021-06-07,3,5828.51956521739,5034.12826086957,0,794.391304347826,0.223478260869565,0.3,7913,2021-06-26
CovidMetrics-epiBATS,DE,Cases,2021-06-07,4,7057.22565217391,5980.26913043478,0,1076.95652173913,0.223478260869565,0.3,10324,2021-07-03
CovidMetrics-epiBATS,DE,Cases,2021-06-14,1,3062.42391304348,1766.33695652174,0,1296.08695652174,-0.0373913043478261,0.6,5706,2021-06-19
CovidMetrics-epiBATS,DE,Cases,2021-06-14,2,4030.2952173913,3546.12130434783,0,484.173913043478,0.223478260869565,0.3,5118,2021-06-26
CovidMetrics-epiBATS,DE,Cases,2021-06-14,3,5404.34347826087,4710.03913043478,0,694.304347826087,0.223478260869565,0.3,7419,2021-07-03
CovidMetrics-epiBATS,DE,Cases,2021-06-14,4,5979.61217391304,5576.56869565217,0,403.04347826087,0.310434782608696,0.2,6034,2021-07-10
CovidMetrics-epiBATS,DE,Cases,2021-06-21,1,1623.64739130435,1602.60391304348,21.0434782608696,0,0.397391304347826,-0.1,484,2021-06-26
CovidMetrics-epiBATS,DE,Cases,2021-06-21,2,2970.18695652174,2905.92608695652,0,64.2608695652174,0.397391304347826,0.1,1478,2021-07-03
CovidMetrics-epiBATS,DE,Cases,2021-06-21,3,3855.48608695652,3854.66,0.826086956521739,0,0.397391304347826,-0.1,19,2021-07-10
CovidMetrics-epiBATS,DE,Cases,2021-06-21,4,4764.25565217391,4650.38608695652,113.869565217391,0,0.397391304347826,-0.1,2619,2021-07-17
CovidMetrics-epiBATS,DE,Cases,2021-06-28,1,1496.4247826087,1473.99,0,22.4347826086957,0.397391304347826,0.1,516,2021-07-03
CovidMetrics-epiBATS,DE,Cases,2021-06-28,2,2737.31826086957,2689.88347826087,47.4347826086957,0,0.397391304347826,-0.1,1091,2021-07-10
CovidMetrics-epiBATS,DE,Cases,2021-06-28,3,3829.41217391304,3644.36869565217,185.04347826087,0,0.310434782608696,-0.2,3728,2021-07-17
CovidMetrics-epiBATS,DE,Cases,2021-06-28,4,4976.86260869565,4409.5147826087,567.347826086957,0,0.310434782608696,-0.2,7263,2021-07-24
CovidMetrics-epiBATS,DE,Cases,2021-07-05,1,1507.77217391304,1481.59826086957,26.1739130434783,0,0.397391304347826,-0.1,602,2021-07-10
CovidMetrics-epiBATS,DE,Cases,2021-07-05,2,2957.21782608696,2752.82652173913,204.391304347826,0,0.310434782608696,-0.2,3135,2021-07-17
CovidMetrics-epiBATS,DE,Cases,2021-07-05,3,4284.11826086957,3717.90086956522,566.217391304348,0,0.310434782608696,-0.2,6635,2021-07-24
CovidMetrics-epiBATS,DE,Cases,2021-07-05,4,5544.12043478261,4509.12043478261,1035,0,0.223478260869565,-0.3,9997,2021-07-31
CovidMetrics-epiBATS,DE,Cases,2021-07-12,1,1692.62347826087,1581.36260869565,111.260869565217,0,0.310434782608696,-0.2,1539,2021-07-17
CovidMetrics-epiBATS,DE,Cases,2021-07-12,2,3419.52130434783,2988.39086956522,431.130434782609,0,0.223478260869565,-0.3,4806,2021-07-24
CovidMetrics-epiBATS,DE,Cases,2021-07-12,3,4866.79695652174,4005.36217391304,861.434782608696,0,0.223478260869565,-0.3,8091,2021-07-31
CovidMetrics-epiBATS,DE,Cases,2021-07-12,4,6183.57043478261,4802.30956521739,1381.26086956522,0,0.223478260869565,-0.3,11561,2021-08-07
CovidMetrics-epiBATS,DE,Cases,2021-07-19,1,1749.47434782609,1688.7352173913,60.7391304347826,0,0.310434782608696,-0.2,1147,2021-07-24
CovidMetrics-epiBATS,DE,Cases,2021-07-19,2,3707.1,3390.31739130435,316.782608695652,0,0.310434782608696,-0.2,3978,2021-07-31
CovidMetrics-epiBATS,DE,Cases,2021-07-19,3,5242.33869565217,4547.68652173913,694.652173913044,0,0.223478260869565,-0.3,7297,2021-08-07
CovidMetrics-epiBATS,DE,Cases,2021-07-19,4,7939.34826086957,5404.95695652174,2534.39130434783,0,0.136521739130435,-0.4,15779,2021-08-14
