model,target_type,location,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,relative_skill,scaled_rel_skill
CovidMetrics-epiBATS,Cases,DE,1,22737.8016276477,2122.7949386845,11126.8372352285,9488.16945373467,-0.122118171683389,-0.284358974358974,27201.717948718,0.70442143640053,0.717174994506854
CovidMetrics-epiBATS,Cases,DE,2,67251.8210702341,4934.01170568562,41802.4202898551,20515.3890746934,-0.144414715719064,-0.245641025641026,78524.9487179487,0.810472109353942,0.839430253500039
CovidMetrics-epiBATS,Cases,DE,3,124156.804481605,7682.55364548495,78460.9877369008,38013.2630992196,-0.19123745819398,-0.306410256410256,143079,0.790724288017279,0.932289017527246
CovidMetrics-epiBATS,Cases,DE,4,191405.788428094,10294.3057079153,120307.137123746,60804.3455964326,-0.233600891861761,-0.289230769230769,219554.41025641,0.78232785554612,1.06025496167879
DSMPG-bayes,Cases,CZ,1,2300.38695652174,1589.3,146.608695652174,564.478260869565,0.136521739130435,0.04,3557.8,0.694604706328273,0.468729128185813
DSMPG-bayes,Cases,CZ,2,4183.8892173913,2836.61095652174,329.730434782609,1017.54782608696,0.136521739130435,-2.21990394816407e-17,6125,0.825809861159939,0.588233554482435
DSMPG-bayes,Cases,CZ,3,5868.67582608696,4366.128,319.730434782609,1182.81739130435,0.188695652173913,-0.06,7297,0.81754200373043,0.651380307819538
DSMPG-bayes,Cases,CZ,4,8333.49243478261,6574.40547826087,298.286956521739,1460.8,0.206086956521739,-0.04,8206.2,0.830950469919732,0.728514692029969
DSMPG-bayes,Cases,DE,1,11398.0468322981,6065.55614906832,15.1180124223602,5317.37267080745,0.0619875776397516,0.457142857142857,17311.2857142857,1.20544812557515,1.22727277757927
DSMPG-bayes,Cases,DE,2,24042.0496273292,12586.1738509317,526.360248447205,10929.5155279503,0.0619875776397516,0.314285714285714,34456.5714285714,0.989737764501046,1.02510106512604
DSMPG-bayes,Cases,DE,3,39353.8929192547,23127.6568944099,543.695652173913,15682.5403726708,0.0247204968944099,0.435714285714286,55527.4285714286,1.09599229462071,1.29220968048353
DSMPG-bayes,Cases,DE,4,60909.9359006211,39361.5445962733,201.16149068323,21347.2298136646,-0.000124223602484474,0.492857142857143,78431,1.27950684387068,1.73406004924733
DSMPG-bayes,Cases,FR,1,39938.0424844721,12101.2350310559,5475.23602484472,22361.5714285714,-0.211304347826087,0.268571428571429,61038,0.800504478725019,0.667577072066265
DSMPG-bayes,Cases,FR,2,61709.2353416149,21340.4962111801,5984.95031055901,34383.7888198758,-0.186459627329193,0.371428571428571,97297.5714285714,1.08362305782857,0.987075105739651
DSMPG-bayes,Cases,FR,3,83073.6350310559,34033.541863354,2083.42236024845,46956.6708074534,-0.136770186335404,0.528571428571429,128759.285714286,1.2654983775912,1.2923405250623
DSMPG-bayes,Cases,FR,4,173904.702919255,48488.1936024845,3895.85093167702,121520.658385093,-0.236149068322981,0.55,238341.142857143,1.32390958024742,1.37924124509058
DSMPG-bayes,Cases,PL,1,14388.4090434783,4074.17426086957,53.2869565217391,10260.947826087,-0.124347826086957,0.546,23145.4,0.627371048219915,0.43440294219053
DSMPG-bayes,Cases,PL,2,26942.8149565217,9836.07582608696,31.4086956521739,17075.3304347826,-0.0721739130434783,0.52,42482.6,0.672249522144132,0.533903150703696
DSMPG-bayes,Cases,PL,3,53640.4047826087,18401.7439130435,102.713043478261,35135.947826087,-0.159130434782609,0.57,81168.8,0.848617904756503,0.811176091592632
DSMPG-bayes,Cases,PL,4,73510.596,30135.3525217391,0,43375.2434782609,-0.10695652173913,0.646,105790.6,0.920381495072766,1.00771020029878
EuroCOVIDhub-baseline,Cases,CZ,1,11829.718812709,714.912792642141,7592.51003344482,3522.29598662207,-0.141070234113712,0.0517307692307692,14568.1923076923,1.48188935690149,1
EuroCOVIDhub-baseline,Cases,CZ,2,22103.7600668896,1565.07612040134,12727.606187291,7811.07775919733,-0.115986622073579,0.0617307692307692,26809.3846153846,1.40388091578104,1
