forecast_date,period_cat
2021-03-15,1
2021-03-22,1
2021-03-29,1
2021-04-05,1
2021-04-12,1
2021-04-19,1
2021-04-26,1
2021-05-03,1
2021-05-10,1
2021-05-17,1
2021-05-24,2
2021-05-31,2
2021-06-07,2
2021-06-14,2
2021-06-21,2
2021-06-28,2
2021-07-05,2
2021-07-12,2
2021-07-19,2
2021-07-26,2
2021-08-02,3
2021-08-09,3
2021-08-16,3
2021-08-23,3
2021-08-30,3
2021-09-06,3
2021-09-13,3
2021-09-20,3
2021-09-27,3
2021-10-04,3
2021-10-11,4
2021-10-18,4
2021-10-25,4
2021-11-01,4
2021-11-08,4
2021-11-15,4
2021-11-22,4
2021-11-29,4
2021-12-06,4
2021-12-13,4
2021-12-20,5
2021-12-27,5
2022-01-03,5
2022-01-10,5
2022-01-17,5
2022-01-24,5
2022-01-31,5
2022-02-07,5
2022-02-14,5
2022-02-21,5
2022-02-28,6
2022-03-07,6
2022-03-14,6
2022-03-21,6
2022-03-28,6
2022-04-04,6
2022-04-11,6
2022-04-18,6
2022-04-25,6
2022-05-02,6
2022-05-09,7
2022-05-16,7
2022-05-23,7
2022-05-30,7
2022-06-06,7
2022-06-13,7
2022-06-20,7
2022-06-27,7
2022-07-04,7
2022-07-11,7
2022-07-18,8
2022-07-25,8
2022-08-01,8
2022-08-08,8
2022-08-15,8
2022-08-22,8
2022-08-29,8
2022-09-05,8
2022-09-12,8
2022-09-19,8
2022-09-26,9
2022-10-03,9
2022-10-10,9
2022-10-17,9
2022-10-24,9
2022-10-31,9
2022-11-07,9
2022-11-14,9
2022-11-21,9
2022-11-28,9
2022-12-05,10
2022-12-12,10
2022-12-19,10
2022-12-26,10
2023-01-02,10
2023-01-09,10
2023-01-16,10
2023-01-23,10
2023-01-30,10
2023-02-06,10
2023-02-13,11
2023-02-20,11
2023-02-27,11
