model,location,target_type,forecast_date,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median
EuroCOVIDhub-ensemble,DE,Cases,2021-03-15,11615.8670652174,9234.41054347826,2055.79347826087,325.663043478261,0.158260869565217,-0.275,14980
EuroCOVIDhub-ensemble,DE,Cases,2021-03-22,27067.0109782609,13688.2283695652,0,13378.7826086957,-0.0156521739130435,0.575,42988.5
EuroCOVIDhub-ensemble,DE,Cases,2021-03-29,32528.7172826087,15868.8151086957,0,16659.902173913,-0.0808695652173913,0.65,56717.25
EuroCOVIDhub-ensemble,DE,Cases,2021-04-05,13699.6614130435,9295.53097826087,4374.34782608696,29.7826086956522,0.158260869565217,-0.325,21192
EuroCOVIDhub-ensemble,DE,Cases,2021-04-12,14245.6891304348,11422.6891304348,2133.94565217391,689.054347826087,0.223478260869565,-0.15,17736.5
EuroCOVIDhub-ensemble,DE,Cases,2021-04-19,30318.5860869565,12507.0643478261,0,17811.5217391304,-0.0591304347826087,0.595,48252
EuroCOVIDhub-ensemble,DE,Cases,2021-04-26,40921.1830434783,8912.07434782609,0,32009.1086956522,-0.363478260869565,0.875,60485
EuroCOVIDhub-ensemble,DE,Cases,2021-05-03,26327.9632608696,8146.485,0,18181.4782608696,-0.298260869565217,0.8375,39183.5
EuroCOVIDhub-ensemble,DE,Cases,2021-05-10,18172.1708695652,5653.04043478261,0,12519.1304347826,-0.298260869565217,0.8575,29477
EuroCOVIDhub-ensemble,DE,Cases,2021-05-17,5343.50630434783,3529.9302173913,10.2934782608696,1803.28260869565,0.071304347826087,0.425,7916.75
EuroCOVIDhub-ensemble,DE,Cases,2021-05-24,8717.63467391305,3006.51510869565,0,5711.11956521739,-0.298260869565217,0.85,14343.25
EuroCOVIDhub-ensemble,DE,Cases,2021-05-31,1974.60989130435,1600.08815217391,0,374.521739130435,0.201739130434783,0.325,2128.5
EuroCOVIDhub-ensemble,DE,Cases,2021-06-07,1865.40760869565,1449.20108695652,0,416.20652173913,0.18,0.35,2362.75
EuroCOVIDhub-ensemble,DE,Cases,2021-06-14,1666.00510869565,1159.27684782609,0.347826086956522,506.380434782609,0.114782608695652,0.375,1986.25
EuroCOVIDhub-ensemble,DE,Cases,2021-06-21,1357.46619565217,568.987934782609,788.478260869565,0,0.0495652173913044,-0.5,2536.5
EuroCOVIDhub-ensemble,DE,Cases,2021-06-28,2599.83934782609,500.056739130435,2099.78260869565,0,-0.102608695652174,-0.675,4607.5
EuroCOVIDhub-ensemble,DE,Cases,2021-07-05,3649.76913043478,607.443043478261,3042.32608695652,0,-0.23304347826087,-0.825,6496.5
EuroCOVIDhub-ensemble,DE,Cases,2021-07-12,3387.8202173913,1020.58108695652,2367.23913043478,0,-0.167826086956522,-0.75,6650.5
EuroCOVIDhub-ensemble,DE,Cases,2021-07-19,2518.57793478261,2393.40402173913,10.0652173913043,115.108695652174,0.288695652173913,0.175,1499.5
EuroCOVIDhub-ensemble,DE,Cases,2021-07-26,3297.0252173913,2077.88391304348,1219.14130434783,0,0.223478260869565,-0.3,4979.75
EuroCOVIDhub-ensemble,DE,Cases,2021-08-02,5659.14608695652,1807.89608695652,3714.5,136.75,-0.102608695652174,-0.375,10123.75
EuroCOVIDhub-ensemble,DE,Cases,2021-08-09,10903.5665217391,2498.86,8404.70652173913,0,-0.189565217391304,-0.775,18924.75
EuroCOVIDhub-ensemble,DE,Cases,2021-08-16,5894.90543478261,4447.275,675.380434782609,772.25,0.18,-0.2,8375.5
EuroCOVIDhub-ensemble,DE,Cases,2021-08-23,24436.1992391304,7405.80793478261,0,17030.3913043478,-0.211304347826087,0.7575,38766.5
EuroCOVIDhub-ensemble,DE,Cases,2021-08-30,29593.3972826087,5447.24510869565,0,24146.152173913,-0.40695652173913,0.925,43317.5
EuroCOVIDhub-ensemble,DE,Cases,2021-09-06,28070.1345652174,5401.8302173913,0,22668.3043478261,-0.341739130434783,0.895,49850.5
EuroCOVIDhub-ensemble,DE,Cases,2021-09-13,7794.23869565217,4361.65173913044,0,3432.58695652174,-0.0156521739130435,0.575,13427
EuroCOVIDhub-ensemble,DE,Cases,2021-09-20,4745.9002173913,3635.96543478261,1036.01086956522,73.9239130434783,0.201739130434783,-0.175,6348.5
EuroCOVIDhub-ensemble,DE,Cases,2021-09-27,12133.6143478261,3445.28826086957,8688.32608695652,0,-0.146086956521739,-0.7125,23469.5
EuroCOVIDhub-ensemble,DE,Cases,2021-10-04,16147.6886956522,4432.61260869565,11715.0760869565,0,-0.0156521739130435,-0.5625,27779.25
EuroCOVIDhub-ensemble,DE,Cases,2021-10-11,30872.922826087,4148.33586956522,26724.5869565217,0,-0.276521739130435,-0.775,44543.5
EuroCOVIDhub-ensemble,DE,Cases,2021-10-18,58237.6298913044,3889.68423913044,54347.9456521739,0,-0.515652173913044,-0.9875,74636.25
EuroCOVIDhub-ensemble,DE,Cases,2021-10-25,33154.315326087,4408.36967391304,28745.9456521739,0,-0.189565217391304,-0.7125,46095.25
EuroCOVIDhub-ensemble,DE,Cases,2021-11-01,26388.4930434783,10356.232173913,14873.1956521739,1159.0652173913,-0.0808695652173913,-0.4,40103.5
EuroCOVIDhub-ensemble,DE,Cases,2021-11-08,54412.3773913044,8901.2252173913,45511.152173913,0,-0.472173913043478,-0.97,75295.5
EuroCOVIDhub-ensemble,DE,Cases,2021-11-15,29938.1507608696,12771.8464130435,0,17166.3043478261,0.00608695652173914,0.55,46355.5
EuroCOVIDhub-ensemble,DE,Cases,2021-11-22,97842.2934782609,17794.5434782609,0,80047.75,-0.276521739130435,0.8325,151257.25
EuroCOVIDhub-ensemble,DE,Cases,2021-11-29,135263.911195652,19959.5742391304,0,115304.336956522,-0.493913043478261,0.9825,200306.25
EuroCOVIDhub-ensemble,DE,Cases,2021-12-06,59319.3207608696,16753.3751086957,0,42565.9456521739,-0.146086956521739,0.725,114132.75
EuroCOVIDhub-ensemble,DE,Cases,2021-12-13,36337.887173913,16058.9958695652,6163.85869565217,14115.0326086957,-0.0808695652173913,0.35,68714.5
EuroCOVIDhub-ensemble,DE,Cases,2021-12-20,85385.9288043478,11798.5266304348,70302.8043478261,3284.59782608696,-0.23304347826087,-0.275,122069.25
EuroCOVIDhub-ensemble,DE,Cases,2021-12-27,249005.380217391,6967.19543478261,242038.184782609,0,-0.493913043478261,-0.975,279021.75
EuroCOVIDhub-ensemble,DE,Cases,2022-01-03,347048.125217391,15210.407826087,331837.717391304,0,-0.559130434782609,-1,407398
EuroCOVIDhub-ensemble,DE,Cases,2022-01-10,46336.4048913044,24220.8288043478,19489.9565217391,2625.61956521739,0.0278260869565217,-0.125,63745.25
EuroCOVIDhub-ensemble,DE,Cases,2022-01-17,160823.966521739,47556.6730434783,113267.293478261,0,-0.146086956521739,-0.695,305615.25
EuroCOVIDhub-ensemble,DE,Cases,2022-01-24,66010.6498913044,56296.334673913,1552.44565217391,8161.86956521739,0.245217391304348,0.175,78069.25
EuroCOVIDhub-ensemble,DE,Cases,2022-01-31,93218.1433695652,37293.5781521739,0,55924.5652173913,0.0278260869565217,0.525,170584.5
EuroCOVIDhub-ensemble,DE,Cases,2022-02-07,145759.363804348,85549.820326087,0,60209.5434782609,-0.0156521739130435,0.575,182675.5
EuroCOVIDhub-ensemble,DE,Cases,2022-02-14,81717.0331521739,72838.7179347826,8679.48913043478,198.826086956522,0.353913043478261,-0.1,74584.75
EuroCOVIDhub-ensemble,DE,Cases,2022-02-21,165152.398586957,84867.0398913044,80152.5217391304,132.836956521739,0.114782608695652,-0.375,294295.25
EuroCOVIDhub-ensemble,DE,Cases,2022-02-28,285727.123695652,71267.5584782609,214459.565217391,0,-0.298260869565217,-0.82,498983
EuroCOVIDhub-ensemble,DE,Cases,2022-03-07,229930.860108696,82785.0340217391,147145.826086957,0,-0.146086956521739,-0.725,445486.5
