ensid,model,modelid,k
84,EuroCOVIDhub-baseline,1,13
84,FIAS_FZJ-Epi1Ger,2,13
84,IEM_Health-CovidProject,3,13
84,ILM-EKF,4,13
84,ITWW-county_repro,5,13
84,Karlen-pypm,6,13
84,MIT_CovidAnalytics-DELPHI,7,13
84,UNIPV-BayesINGARCHX,8,13
84,epiforecasts-EpiNow2,9,13
84,itwm-dSEIR,10,13
84,HZI-AgeExtendedSEIR,11,13
84,MUNI-ARIMA,12,13
84,RobertWalraven-ESG,13,13
85,EuroCOVIDhub-baseline,1,13
85,FIAS_FZJ-Epi1Ger,2,13
85,IEM_Health-CovidProject,3,13
85,ILM-EKF,4,13
85,ITWW-county_repro,5,13
85,Karlen-pypm,6,13
85,MIT_CovidAnalytics-DELPHI,7,13
85,UNIPV-BayesINGARCHX,8,13
85,epiforecasts-EpiNow2,9,13
85,itwm-dSEIR,10,13
85,HZI-AgeExtendedSEIR,11,13
85,MUNI-ARIMA,12,13
85,CovidMetrics-epiBATS,13,13
86,EuroCOVIDhub-baseline,1,13
86,FIAS_FZJ-Epi1Ger,2,13
86,IEM_Health-CovidProject,3,13
86,ILM-EKF,4,13
86,ITWW-county_repro,5,13
86,Karlen-pypm,6,13
86,MIT_CovidAnalytics-DELPHI,7,13
86,UNIPV-BayesINGARCHX,8,13
86,epiforecasts-EpiNow2,9,13
86,itwm-dSEIR,10,13
86,HZI-AgeExtendedSEIR,11,13
86,RobertWalraven-ESG,12,13
86,CovidMetrics-epiBATS,13,13
90,EuroCOVIDhub-baseline,1,13
90,FIAS_FZJ-Epi1Ger,2,13
90,IEM_Health-CovidProject,3,13
90,ILM-EKF,4,13
90,ITWW-county_repro,5,13
90,Karlen-pypm,6,13
90,MIT_CovidAnalytics-DELPHI,7,13
90,UNIPV-BayesINGARCHX,8,13
90,epiforecasts-EpiNow2,9,13
90,itwm-dSEIR,10,13
90,MUNI-ARIMA,11,13
90,RobertWalraven-ESG,12,13
90,CovidMetrics-epiBATS,13,13
104,EuroCOVIDhub-baseline,1,13
104,FIAS_FZJ-Epi1Ger,2,13
104,IEM_Health-CovidProject,3,13
104,ILM-EKF,4,13
104,ITWW-county_repro,5,13
104,Karlen-pypm,6,13
104,MIT_CovidAnalytics-DELPHI,7,13
104,UNIPV-BayesINGARCHX,8,13
104,epiforecasts-EpiNow2,9,13
104,HZI-AgeExtendedSEIR,10,13
104,MUNI-ARIMA,11,13
104,RobertWalraven-ESG,12,13
104,CovidMetrics-epiBATS,13,13
119,EuroCOVIDhub-baseline,1,13
119,FIAS_FZJ-Epi1Ger,2,13
119,IEM_Health-CovidProject,3,13
119,ILM-EKF,4,13
119,ITWW-county_repro,5,13
119,Karlen-pypm,6,13
