ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,4
1,IEM_Health-CovidProject,2,4
1,ILM-EKF,3,4
1,epiforecasts-EpiNow2,4,4
2,EuroCOVIDhub-baseline,1,4
2,IEM_Health-CovidProject,2,4
2,ILM-EKF,3,4
2,MUNI-ARIMA,4,4
3,EuroCOVIDhub-baseline,1,4
3,IEM_Health-CovidProject,2,4
3,ILM-EKF,3,4
3,RobertWalraven-ESG,4,4
4,EuroCOVIDhub-baseline,1,4
4,IEM_Health-CovidProject,2,4
4,epiforecasts-EpiNow2,3,4
4,MUNI-ARIMA,4,4
5,EuroCOVIDhub-baseline,1,4
5,IEM_Health-CovidProject,2,4
5,epiforecasts-EpiNow2,3,4
5,RobertWalraven-ESG,4,4
6,EuroCOVIDhub-baseline,1,4
6,IEM_Health-CovidProject,2,4
6,MUNI-ARIMA,3,4
6,RobertWalraven-ESG,4,4
7,EuroCOVIDhub-baseline,1,4
7,ILM-EKF,2,4
7,epiforecasts-EpiNow2,3,4
7,MUNI-ARIMA,4,4
8,EuroCOVIDhub-baseline,1,4
8,ILM-EKF,2,4
8,epiforecasts-EpiNow2,3,4
8,RobertWalraven-ESG,4,4
9,EuroCOVIDhub-baseline,1,4
9,ILM-EKF,2,4
9,MUNI-ARIMA,3,4
9,RobertWalraven-ESG,4,4
10,EuroCOVIDhub-baseline,1,4
10,epiforecasts-EpiNow2,2,4
10,MUNI-ARIMA,3,4
10,RobertWalraven-ESG,4,4
11,IEM_Health-CovidProject,1,4
11,ILM-EKF,2,4
11,epiforecasts-EpiNow2,3,4
11,MUNI-ARIMA,4,4
12,IEM_Health-CovidProject,1,4
12,ILM-EKF,2,4
12,epiforecasts-EpiNow2,3,4
12,RobertWalraven-ESG,4,4
13,IEM_Health-CovidProject,1,4
13,ILM-EKF,2,4
13,MUNI-ARIMA,3,4
13,RobertWalraven-ESG,4,4
14,IEM_Health-CovidProject,1,4
14,epiforecasts-EpiNow2,2,4
14,MUNI-ARIMA,3,4
14,RobertWalraven-ESG,4,4
15,ILM-EKF,1,4
15,epiforecasts-EpiNow2,2,4
15,MUNI-ARIMA,3,4
15,RobertWalraven-ESG,4,4
