ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,5
1,IEM_Health-CovidProject,2,5
1,ILM-EKF,3,5
1,RobertWalraven-ESG,4,5
1,epiforecasts-EpiNow2,5,5
2,EuroCOVIDhub-baseline,1,5
2,IEM_Health-CovidProject,2,5
2,ILM-EKF,3,5
2,RobertWalraven-ESG,4,5
2,UMass-MechBayes,5,5
3,EuroCOVIDhub-baseline,1,5
3,IEM_Health-CovidProject,2,5
3,ILM-EKF,3,5
3,RobertWalraven-ESG,4,5
3,MUNI-ARIMA,5,5
4,EuroCOVIDhub-baseline,1,5
4,IEM_Health-CovidProject,2,5
4,ILM-EKF,3,5
4,epiforecasts-EpiNow2,4,5
4,UMass-MechBayes,5,5
5,EuroCOVIDhub-baseline,1,5
5,IEM_Health-CovidProject,2,5
5,ILM-EKF,3,5
5,epiforecasts-EpiNow2,4,5
5,MUNI-ARIMA,5,5
6,EuroCOVIDhub-baseline,1,5
6,IEM_Health-CovidProject,2,5
6,ILM-EKF,3,5
6,UMass-MechBayes,4,5
6,MUNI-ARIMA,5,5
7,EuroCOVIDhub-baseline,1,5
7,IEM_Health-CovidProject,2,5
7,RobertWalraven-ESG,3,5
7,epiforecasts-EpiNow2,4,5
7,UMass-MechBayes,5,5
8,EuroCOVIDhub-baseline,1,5
8,IEM_Health-CovidProject,2,5
8,RobertWalraven-ESG,3,5
8,epiforecasts-EpiNow2,4,5
8,MUNI-ARIMA,5,5
9,EuroCOVIDhub-baseline,1,5
9,IEM_Health-CovidProject,2,5
9,RobertWalraven-ESG,3,5
9,UMass-MechBayes,4,5
9,MUNI-ARIMA,5,5
11,EuroCOVIDhub-baseline,1,5
11,ILM-EKF,2,5
11,RobertWalraven-ESG,3,5
11,epiforecasts-EpiNow2,4,5
11,UMass-MechBayes,5,5
12,EuroCOVIDhub-baseline,1,5
12,ILM-EKF,2,5
12,RobertWalraven-ESG,3,5
12,epiforecasts-EpiNow2,4,5
12,MUNI-ARIMA,5,5
13,EuroCOVIDhub-baseline,1,5
13,ILM-EKF,2,5
13,RobertWalraven-ESG,3,5
13,UMass-MechBayes,4,5
13,MUNI-ARIMA,5,5
16,IEM_Health-CovidProject,1,5
16,ILM-EKF,2,5
16,RobertWalraven-ESG,3,5
16,epiforecasts-EpiNow2,4,5
16,UMass-MechBayes,5,5
17,IEM_Health-CovidProject,1,5
17,ILM-EKF,2,5
17,RobertWalraven-ESG,3,5
17,epiforecasts-EpiNow2,4,5
17,MUNI-ARIMA,5,5
18,IEM_Health-CovidProject,1,5
18,ILM-EKF,2,5
18,RobertWalraven-ESG,3,5
18,UMass-MechBayes,4,5
18,MUNI-ARIMA,5,5
