ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,3
1,ICM-agentModel,2,3
1,IEM_Health-CovidProject,3,3
2,EuroCOVIDhub-baseline,1,3
2,ICM-agentModel,2,3
2,ILM-EKF,3,3
3,EuroCOVIDhub-baseline,1,3
3,ICM-agentModel,2,3
3,ITWW-county_repro,3,3
4,EuroCOVIDhub-baseline,1,3
4,ICM-agentModel,2,3
4,MIT_CovidAnalytics-DELPHI,3,3
5,EuroCOVIDhub-baseline,1,3
5,ICM-agentModel,2,3
5,MOCOS-agent1,3,3
6,EuroCOVIDhub-baseline,1,3
6,ICM-agentModel,2,3
6,epiforecasts-EpiNow2,3,3
7,EuroCOVIDhub-baseline,1,3
7,ICM-agentModel,2,3
7,PL_GRedlarski-DistrictsSum,3,3
8,EuroCOVIDhub-baseline,1,3
8,ICM-agentModel,2,3
8,MUNI-ARIMA,3,3
9,EuroCOVIDhub-baseline,1,3
9,ICM-agentModel,2,3
9,RobertWalraven-ESG,3,3
10,EuroCOVIDhub-baseline,1,3
10,IEM_Health-CovidProject,2,3
10,ILM-EKF,3,3
11,EuroCOVIDhub-baseline,1,3
11,IEM_Health-CovidProject,2,3
11,ITWW-county_repro,3,3
12,EuroCOVIDhub-baseline,1,3
12,IEM_Health-CovidProject,2,3
12,MIT_CovidAnalytics-DELPHI,3,3
13,EuroCOVIDhub-baseline,1,3
13,IEM_Health-CovidProject,2,3
13,MOCOS-agent1,3,3
14,EuroCOVIDhub-baseline,1,3
14,IEM_Health-CovidProject,2,3
14,epiforecasts-EpiNow2,3,3
15,EuroCOVIDhub-baseline,1,3
15,IEM_Health-CovidProject,2,3
15,PL_GRedlarski-DistrictsSum,3,3
16,EuroCOVIDhub-baseline,1,3
16,IEM_Health-CovidProject,2,3
16,MUNI-ARIMA,3,3
17,EuroCOVIDhub-baseline,1,3
17,IEM_Health-CovidProject,2,3
17,RobertWalraven-ESG,3,3
18,EuroCOVIDhub-baseline,1,3
18,ILM-EKF,2,3
18,ITWW-county_repro,3,3
19,EuroCOVIDhub-baseline,1,3
19,ILM-EKF,2,3
19,MIT_CovidAnalytics-DELPHI,3,3
20,EuroCOVIDhub-baseline,1,3
20,ILM-EKF,2,3
20,MOCOS-agent1,3,3
21,EuroCOVIDhub-baseline,1,3
21,ILM-EKF,2,3
21,epiforecasts-EpiNow2,3,3
22,EuroCOVIDhub-baseline,1,3
22,ILM-EKF,2,3
22,PL_GRedlarski-DistrictsSum,3,3
23,EuroCOVIDhub-baseline,1,3
23,ILM-EKF,2,3
23,MUNI-ARIMA,3,3
24,EuroCOVIDhub-baseline,1,3
24,ILM-EKF,2,3
24,RobertWalraven-ESG,3,3
25,EuroCOVIDhub-baseline,1,3
25,ITWW-county_repro,2,3
25,MIT_CovidAnalytics-DELPHI,3,3
26,EuroCOVIDhub-baseline,1,3
26,ITWW-county_repro,2,3
26,MOCOS-agent1,3,3
27,EuroCOVIDhub-baseline,1,3
27,ITWW-county_repro,2,3
27,epiforecasts-EpiNow2,3,3
28,EuroCOVIDhub-baseline,1,3
28,ITWW-county_repro,2,3
28,PL_GRedlarski-DistrictsSum,3,3
29,EuroCOVIDhub-baseline,1,3
29,ITWW-county_repro,2,3
29,MUNI-ARIMA,3,3
30,EuroCOVIDhub-baseline,1,3
30,ITWW-county_repro,2,3
30,RobertWalraven-ESG,3,3
31,EuroCOVIDhub-baseline,1,3
31,MIT_CovidAnalytics-DELPHI,2,3
31,MOCOS-agent1,3,3
32,EuroCOVIDhub-baseline,1,3
32,MIT_CovidAnalytics-DELPHI,2,3
32,epiforecasts-EpiNow2,3,3
33,EuroCOVIDhub-baseline,1,3
33,MIT_CovidAnalytics-DELPHI,2,3
33,PL_GRedlarski-DistrictsSum,3,3
34,EuroCOVIDhub-baseline,1,3
34,MIT_CovidAnalytics-DELPHI,2,3
34,MUNI-ARIMA,3,3
35,EuroCOVIDhub-baseline,1,3
35,MIT_CovidAnalytics-DELPHI,2,3
35,RobertWalraven-ESG,3,3
36,EuroCOVIDhub-baseline,1,3
36,MOCOS-agent1,2,3
36,epiforecasts-EpiNow2,3,3
37,EuroCOVIDhub-baseline,1,3
37,MOCOS-agent1,2,3
37,PL_GRedlarski-DistrictsSum,3,3
38,EuroCOVIDhub-baseline,1,3
38,MOCOS-agent1,2,3
38,MUNI-ARIMA,3,3
39,EuroCOVIDhub-baseline,1,3
39,MOCOS-agent1,2,3
39,RobertWalraven-ESG,3,3
40,EuroCOVIDhub-baseline,1,3
40,epiforecasts-EpiNow2,2,3
40,PL_GRedlarski-DistrictsSum,3,3
41,EuroCOVIDhub-baseline,1,3
41,epiforecasts-EpiNow2,2,3
41,MUNI-ARIMA,3,3
42,EuroCOVIDhub-baseline,1,3
42,epiforecasts-EpiNow2,2,3
42,RobertWalraven-ESG,3,3
43,EuroCOVIDhub-baseline,1,3
43,PL_GRedlarski-DistrictsSum,2,3
43,MUNI-ARIMA,3,3
44,EuroCOVIDhub-baseline,1,3
44,PL_GRedlarski-DistrictsSum,2,3
44,RobertWalraven-ESG,3,3
45,EuroCOVIDhub-baseline,1,3
45,MUNI-ARIMA,2,3
45,RobertWalraven-ESG,3,3
46,ICM-agentModel,1,3
46,IEM_Health-CovidProject,2,3
46,ILM-EKF,3,3
47,ICM-agentModel,1,3
47,IEM_Health-CovidProject,2,3
47,ITWW-county_repro,3,3
48,ICM-agentModel,1,3
48,IEM_Health-CovidProject,2,3
48,MIT_CovidAnalytics-DELPHI,3,3
49,ICM-agentModel,1,3
49,IEM_Health-CovidProject,2,3
49,MOCOS-agent1,3,3
50,ICM-agentModel,1,3
50,IEM_Health-CovidProject,2,3
50,epiforecasts-EpiNow2,3,3
51,ICM-agentModel,1,3
51,IEM_Health-CovidProject,2,3
51,PL_GRedlarski-DistrictsSum,3,3
52,ICM-agentModel,1,3
52,IEM_Health-CovidProject,2,3
52,MUNI-ARIMA,3,3
53,ICM-agentModel,1,3
53,IEM_Health-CovidProject,2,3
53,RobertWalraven-ESG,3,3
54,ICM-agentModel,1,3
54,ILM-EKF,2,3
54,ITWW-county_repro,3,3
55,ICM-agentModel,1,3
55,ILM-EKF,2,3
55,MIT_CovidAnalytics-DELPHI,3,3
56,ICM-agentModel,1,3
56,ILM-EKF,2,3
56,MOCOS-agent1,3,3
57,ICM-agentModel,1,3
57,ILM-EKF,2,3
57,epiforecasts-EpiNow2,3,3
58,ICM-agentModel,1,3
58,ILM-EKF,2,3
58,PL_GRedlarski-DistrictsSum,3,3
