ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,5
1,IEM_Health-CovidProject,2,5
1,ILM-EKF,3,5
1,MUNI_DMS-SEIAR,4,5
1,epiforecasts-EpiNow2,5,5
2,EuroCOVIDhub-baseline,1,5
2,IEM_Health-CovidProject,2,5
2,ILM-EKF,3,5
2,MUNI_DMS-SEIAR,4,5
2,MUNI-ARIMA,5,5
3,EuroCOVIDhub-baseline,1,5
3,IEM_Health-CovidProject,2,5
3,ILM-EKF,3,5
3,MUNI_DMS-SEIAR,4,5
3,RobertWalraven-ESG,5,5
4,EuroCOVIDhub-baseline,1,5
4,IEM_Health-CovidProject,2,5
4,ILM-EKF,3,5
4,epiforecasts-EpiNow2,4,5
4,MUNI-ARIMA,5,5
5,EuroCOVIDhub-baseline,1,5
5,IEM_Health-CovidProject,2,5
5,ILM-EKF,3,5
5,epiforecasts-EpiNow2,4,5
5,RobertWalraven-ESG,5,5
6,EuroCOVIDhub-baseline,1,5
6,IEM_Health-CovidProject,2,5
6,ILM-EKF,3,5
6,MUNI-ARIMA,4,5
6,RobertWalraven-ESG,5,5
7,EuroCOVIDhub-baseline,1,5
7,IEM_Health-CovidProject,2,5
7,MUNI_DMS-SEIAR,3,5
7,epiforecasts-EpiNow2,4,5
7,MUNI-ARIMA,5,5
8,EuroCOVIDhub-baseline,1,5
8,IEM_Health-CovidProject,2,5
8,MUNI_DMS-SEIAR,3,5
8,epiforecasts-EpiNow2,4,5
8,RobertWalraven-ESG,5,5
9,EuroCOVIDhub-baseline,1,5
9,IEM_Health-CovidProject,2,5
9,MUNI_DMS-SEIAR,3,5
9,MUNI-ARIMA,4,5
9,RobertWalraven-ESG,5,5
10,EuroCOVIDhub-baseline,1,5
10,IEM_Health-CovidProject,2,5
10,epiforecasts-EpiNow2,3,5
10,MUNI-ARIMA,4,5
10,RobertWalraven-ESG,5,5
11,EuroCOVIDhub-baseline,1,5
11,ILM-EKF,2,5
11,MUNI_DMS-SEIAR,3,5
11,epiforecasts-EpiNow2,4,5
11,MUNI-ARIMA,5,5
12,EuroCOVIDhub-baseline,1,5
12,ILM-EKF,2,5
12,MUNI_DMS-SEIAR,3,5
12,epiforecasts-EpiNow2,4,5
12,RobertWalraven-ESG,5,5
13,EuroCOVIDhub-baseline,1,5
13,ILM-EKF,2,5
13,MUNI_DMS-SEIAR,3,5
13,MUNI-ARIMA,4,5
13,RobertWalraven-ESG,5,5
14,EuroCOVIDhub-baseline,1,5
14,ILM-EKF,2,5
14,epiforecasts-EpiNow2,3,5
14,MUNI-ARIMA,4,5
14,RobertWalraven-ESG,5,5
15,EuroCOVIDhub-baseline,1,5
15,MUNI_DMS-SEIAR,2,5
15,epiforecasts-EpiNow2,3,5
15,MUNI-ARIMA,4,5
15,RobertWalraven-ESG,5,5
16,IEM_Health-CovidProject,1,5
16,ILM-EKF,2,5
16,MUNI_DMS-SEIAR,3,5
16,epiforecasts-EpiNow2,4,5
16,MUNI-ARIMA,5,5
17,IEM_Health-CovidProject,1,5
17,ILM-EKF,2,5
17,MUNI_DMS-SEIAR,3,5
17,epiforecasts-EpiNow2,4,5
17,RobertWalraven-ESG,5,5
18,IEM_Health-CovidProject,1,5
18,ILM-EKF,2,5
18,MUNI_DMS-SEIAR,3,5
18,MUNI-ARIMA,4,5
18,RobertWalraven-ESG,5,5
19,IEM_Health-CovidProject,1,5
19,ILM-EKF,2,5
19,epiforecasts-EpiNow2,3,5
19,MUNI-ARIMA,4,5
19,RobertWalraven-ESG,5,5
20,IEM_Health-CovidProject,1,5
20,MUNI_DMS-SEIAR,2,5
20,epiforecasts-EpiNow2,3,5
20,MUNI-ARIMA,4,5
20,RobertWalraven-ESG,5,5
21,ILM-EKF,1,5
21,MUNI_DMS-SEIAR,2,5
21,epiforecasts-EpiNow2,3,5
21,MUNI-ARIMA,4,5
21,RobertWalraven-ESG,5,5
