ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,6
1,IEM_Health-CovidProject,2,6
1,ILM-EKF,3,6
1,MUNI_DMS-SEIAR,4,6
1,RobertWalraven-ESG,5,6
1,epiforecasts-EpiNow2,6,6
2,EuroCOVIDhub-baseline,1,6
2,IEM_Health-CovidProject,2,6
2,ILM-EKF,3,6
2,MUNI_DMS-SEIAR,4,6
2,RobertWalraven-ESG,5,6
2,UMass-MechBayes,6,6
3,EuroCOVIDhub-baseline,1,6
3,IEM_Health-CovidProject,2,6
3,ILM-EKF,3,6
3,MUNI_DMS-SEIAR,4,6
3,RobertWalraven-ESG,5,6
3,MUNI-ARIMA,6,6
4,EuroCOVIDhub-baseline,1,6
4,IEM_Health-CovidProject,2,6
4,ILM-EKF,3,6
4,MUNI_DMS-SEIAR,4,6
4,epiforecasts-EpiNow2,5,6
4,UMass-MechBayes,6,6
5,EuroCOVIDhub-baseline,1,6
5,IEM_Health-CovidProject,2,6
5,ILM-EKF,3,6
5,MUNI_DMS-SEIAR,4,6
5,epiforecasts-EpiNow2,5,6
5,MUNI-ARIMA,6,6
6,EuroCOVIDhub-baseline,1,6
6,IEM_Health-CovidProject,2,6
6,ILM-EKF,3,6
6,MUNI_DMS-SEIAR,4,6
6,UMass-MechBayes,5,6
6,MUNI-ARIMA,6,6
7,EuroCOVIDhub-baseline,1,6
7,IEM_Health-CovidProject,2,6
7,ILM-EKF,3,6
7,RobertWalraven-ESG,4,6
7,epiforecasts-EpiNow2,5,6
7,UMass-MechBayes,6,6
8,EuroCOVIDhub-baseline,1,6
8,IEM_Health-CovidProject,2,6
8,ILM-EKF,3,6
8,RobertWalraven-ESG,4,6
8,epiforecasts-EpiNow2,5,6
8,MUNI-ARIMA,6,6
9,EuroCOVIDhub-baseline,1,6
9,IEM_Health-CovidProject,2,6
9,ILM-EKF,3,6
9,RobertWalraven-ESG,4,6
9,UMass-MechBayes,5,6
9,MUNI-ARIMA,6,6
10,EuroCOVIDhub-baseline,1,6
10,IEM_Health-CovidProject,2,6
10,ILM-EKF,3,6
10,epiforecasts-EpiNow2,4,6
10,UMass-MechBayes,5,6
10,MUNI-ARIMA,6,6
11,EuroCOVIDhub-baseline,1,6
11,IEM_Health-CovidProject,2,6
11,MUNI_DMS-SEIAR,3,6
11,RobertWalraven-ESG,4,6
11,epiforecasts-EpiNow2,5,6
11,UMass-MechBayes,6,6
12,EuroCOVIDhub-baseline,1,6
12,IEM_Health-CovidProject,2,6
12,MUNI_DMS-SEIAR,3,6
12,RobertWalraven-ESG,4,6
12,epiforecasts-EpiNow2,5,6
12,MUNI-ARIMA,6,6
13,EuroCOVIDhub-baseline,1,6
13,IEM_Health-CovidProject,2,6
13,MUNI_DMS-SEIAR,3,6
13,RobertWalraven-ESG,4,6
13,UMass-MechBayes,5,6
13,MUNI-ARIMA,6,6
14,EuroCOVIDhub-baseline,1,6
14,IEM_Health-CovidProject,2,6
14,MUNI_DMS-SEIAR,3,6
14,epiforecasts-EpiNow2,4,6
14,UMass-MechBayes,5,6
14,MUNI-ARIMA,6,6
15,EuroCOVIDhub-baseline,1,6
15,IEM_Health-CovidProject,2,6
15,RobertWalraven-ESG,3,6
15,epiforecasts-EpiNow2,4,6
15,UMass-MechBayes,5,6
15,MUNI-ARIMA,6,6
16,EuroCOVIDhub-baseline,1,6
16,ILM-EKF,2,6
16,MUNI_DMS-SEIAR,3,6
16,RobertWalraven-ESG,4,6
16,epiforecasts-EpiNow2,5,6
16,UMass-MechBayes,6,6
17,EuroCOVIDhub-baseline,1,6
17,ILM-EKF,2,6
17,MUNI_DMS-SEIAR,3,6
17,RobertWalraven-ESG,4,6
17,epiforecasts-EpiNow2,5,6
17,MUNI-ARIMA,6,6
18,EuroCOVIDhub-baseline,1,6
18,ILM-EKF,2,6
18,MUNI_DMS-SEIAR,3,6
18,RobertWalraven-ESG,4,6
18,UMass-MechBayes,5,6
18,MUNI-ARIMA,6,6
19,EuroCOVIDhub-baseline,1,6
19,ILM-EKF,2,6
19,MUNI_DMS-SEIAR,3,6
19,epiforecasts-EpiNow2,4,6
19,UMass-MechBayes,5,6
19,MUNI-ARIMA,6,6
20,EuroCOVIDhub-baseline,1,6
20,ILM-EKF,2,6
20,RobertWalraven-ESG,3,6
20,epiforecasts-EpiNow2,4,6
20,UMass-MechBayes,5,6
20,MUNI-ARIMA,6,6
21,EuroCOVIDhub-baseline,1,6
21,MUNI_DMS-SEIAR,2,6
21,RobertWalraven-ESG,3,6
21,epiforecasts-EpiNow2,4,6
21,UMass-MechBayes,5,6
21,MUNI-ARIMA,6,6
22,IEM_Health-CovidProject,1,6
22,ILM-EKF,2,6
22,MUNI_DMS-SEIAR,3,6
22,RobertWalraven-ESG,4,6
22,epiforecasts-EpiNow2,5,6
22,UMass-MechBayes,6,6
23,IEM_Health-CovidProject,1,6
23,ILM-EKF,2,6
23,MUNI_DMS-SEIAR,3,6
23,RobertWalraven-ESG,4,6
23,epiforecasts-EpiNow2,5,6
23,MUNI-ARIMA,6,6
24,IEM_Health-CovidProject,1,6
24,ILM-EKF,2,6
24,MUNI_DMS-SEIAR,3,6
24,RobertWalraven-ESG,4,6
24,UMass-MechBayes,5,6
24,MUNI-ARIMA,6,6
25,IEM_Health-CovidProject,1,6
25,ILM-EKF,2,6
25,MUNI_DMS-SEIAR,3,6
25,epiforecasts-EpiNow2,4,6
25,UMass-MechBayes,5,6
25,MUNI-ARIMA,6,6
26,IEM_Health-CovidProject,1,6
26,ILM-EKF,2,6
26,RobertWalraven-ESG,3,6
26,epiforecasts-EpiNow2,4,6
26,UMass-MechBayes,5,6
26,MUNI-ARIMA,6,6
27,IEM_Health-CovidProject,1,6
27,MUNI_DMS-SEIAR,2,6
27,RobertWalraven-ESG,3,6
27,epiforecasts-EpiNow2,4,6
27,UMass-MechBayes,5,6
27,MUNI-ARIMA,6,6
28,ILM-EKF,1,6
28,MUNI_DMS-SEIAR,2,6
28,RobertWalraven-ESG,3,6
28,epiforecasts-EpiNow2,4,6
28,UMass-MechBayes,5,6
28,MUNI-ARIMA,6,6
