ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,9
1,FIAS_FZJ-Epi1Ger,2,9
1,IEM_Health-CovidProject,3,9
1,ILM-EKF,4,9
1,ITWW-county_repro,5,9
1,Karlen-pypm,6,9
1,MIT_CovidAnalytics-DELPHI,7,9
1,UNIPV-BayesINGARCHX,8,9
1,epiforecasts-EpiNow2,9,9
2,EuroCOVIDhub-baseline,1,9
2,FIAS_FZJ-Epi1Ger,2,9
2,IEM_Health-CovidProject,3,9
2,ILM-EKF,4,9
2,ITWW-county_repro,5,9
2,Karlen-pypm,6,9
2,MIT_CovidAnalytics-DELPHI,7,9
2,UNIPV-BayesINGARCHX,8,9
2,itwm-dSEIR,9,9
3,EuroCOVIDhub-baseline,1,9
3,FIAS_FZJ-Epi1Ger,2,9
3,IEM_Health-CovidProject,3,9
3,ILM-EKF,4,9
3,ITWW-county_repro,5,9
3,Karlen-pypm,6,9
3,MIT_CovidAnalytics-DELPHI,7,9
3,UNIPV-BayesINGARCHX,8,9
3,HZI-AgeExtendedSEIR,9,9
4,EuroCOVIDhub-baseline,1,9
4,FIAS_FZJ-Epi1Ger,2,9
4,IEM_Health-CovidProject,3,9
4,ILM-EKF,4,9
4,ITWW-county_repro,5,9
4,Karlen-pypm,6,9
4,MIT_CovidAnalytics-DELPHI,7,9
4,UNIPV-BayesINGARCHX,8,9
4,MUNI-ARIMA,9,9
5,EuroCOVIDhub-baseline,1,9
5,FIAS_FZJ-Epi1Ger,2,9
5,IEM_Health-CovidProject,3,9
5,ILM-EKF,4,9
5,ITWW-county_repro,5,9
5,Karlen-pypm,6,9
5,MIT_CovidAnalytics-DELPHI,7,9
5,UNIPV-BayesINGARCHX,8,9
5,RobertWalraven-ESG,9,9
6,EuroCOVIDhub-baseline,1,9
6,FIAS_FZJ-Epi1Ger,2,9
6,IEM_Health-CovidProject,3,9
6,ILM-EKF,4,9
6,ITWW-county_repro,5,9
6,Karlen-pypm,6,9
6,MIT_CovidAnalytics-DELPHI,7,9
6,UNIPV-BayesINGARCHX,8,9
6,CovidMetrics-epiBATS,9,9
7,EuroCOVIDhub-baseline,1,9
7,FIAS_FZJ-Epi1Ger,2,9
7,IEM_Health-CovidProject,3,9
7,ILM-EKF,4,9
7,ITWW-county_repro,5,9
7,Karlen-pypm,6,9
7,MIT_CovidAnalytics-DELPHI,7,9
7,epiforecasts-EpiNow2,8,9
7,itwm-dSEIR,9,9
8,EuroCOVIDhub-baseline,1,9
8,FIAS_FZJ-Epi1Ger,2,9
8,IEM_Health-CovidProject,3,9
8,ILM-EKF,4,9
8,ITWW-county_repro,5,9
8,Karlen-pypm,6,9
8,MIT_CovidAnalytics-DELPHI,7,9
8,epiforecasts-EpiNow2,8,9
8,HZI-AgeExtendedSEIR,9,9
9,EuroCOVIDhub-baseline,1,9
9,FIAS_FZJ-Epi1Ger,2,9
9,IEM_Health-CovidProject,3,9
9,ILM-EKF,4,9
9,ITWW-county_repro,5,9
9,Karlen-pypm,6,9
9,MIT_CovidAnalytics-DELPHI,7,9
9,epiforecasts-EpiNow2,8,9
9,MUNI-ARIMA,9,9
10,EuroCOVIDhub-baseline,1,9
10,FIAS_FZJ-Epi1Ger,2,9
10,IEM_Health-CovidProject,3,9
10,ILM-EKF,4,9
10,ITWW-county_repro,5,9
10,Karlen-pypm,6,9
10,MIT_CovidAnalytics-DELPHI,7,9
10,epiforecasts-EpiNow2,8,9
10,RobertWalraven-ESG,9,9
11,EuroCOVIDhub-baseline,1,9
11,FIAS_FZJ-Epi1Ger,2,9
11,IEM_Health-CovidProject,3,9
11,ILM-EKF,4,9
11,ITWW-county_repro,5,9
11,Karlen-pypm,6,9
11,MIT_CovidAnalytics-DELPHI,7,9
11,epiforecasts-EpiNow2,8,9
11,CovidMetrics-epiBATS,9,9
12,EuroCOVIDhub-baseline,1,9
12,FIAS_FZJ-Epi1Ger,2,9
12,IEM_Health-CovidProject,3,9
12,ILM-EKF,4,9
12,ITWW-county_repro,5,9
12,Karlen-pypm,6,9
12,MIT_CovidAnalytics-DELPHI,7,9
12,itwm-dSEIR,8,9
12,HZI-AgeExtendedSEIR,9,9
13,EuroCOVIDhub-baseline,1,9
13,FIAS_FZJ-Epi1Ger,2,9
13,IEM_Health-CovidProject,3,9
13,ILM-EKF,4,9
13,ITWW-county_repro,5,9
13,Karlen-pypm,6,9
13,MIT_CovidAnalytics-DELPHI,7,9
