ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,2
1,ICM-agentModel,2,2
2,EuroCOVIDhub-baseline,1,2
2,IEM_Health-CovidProject,2,2
3,EuroCOVIDhub-baseline,1,2
3,ILM-EKF,2,2
4,EuroCOVIDhub-baseline,1,2
4,ITWW-county_repro,2,2
5,EuroCOVIDhub-baseline,1,2
5,MIT_CovidAnalytics-DELPHI,2,2
6,EuroCOVIDhub-baseline,1,2
6,MOCOS-agent1,2,2
7,EuroCOVIDhub-baseline,1,2
7,epiforecasts-EpiNow2,2,2
8,EuroCOVIDhub-baseline,1,2
8,PL_GRedlarski-DistrictsSum,2,2
9,EuroCOVIDhub-baseline,1,2
9,MUNI-ARIMA,2,2
10,EuroCOVIDhub-baseline,1,2
10,RobertWalraven-ESG,2,2
11,ICM-agentModel,1,2
11,IEM_Health-CovidProject,2,2
12,ICM-agentModel,1,2
12,ILM-EKF,2,2
13,ICM-agentModel,1,2
13,ITWW-county_repro,2,2
14,ICM-agentModel,1,2
14,MIT_CovidAnalytics-DELPHI,2,2
15,ICM-agentModel,1,2
15,MOCOS-agent1,2,2
16,ICM-agentModel,1,2
16,epiforecasts-EpiNow2,2,2
17,ICM-agentModel,1,2
17,PL_GRedlarski-DistrictsSum,2,2
18,ICM-agentModel,1,2
18,MUNI-ARIMA,2,2
19,ICM-agentModel,1,2
19,RobertWalraven-ESG,2,2
20,IEM_Health-CovidProject,1,2
20,ILM-EKF,2,2
21,IEM_Health-CovidProject,1,2
21,ITWW-county_repro,2,2
22,IEM_Health-CovidProject,1,2
22,MIT_CovidAnalytics-DELPHI,2,2
23,IEM_Health-CovidProject,1,2
23,MOCOS-agent1,2,2
24,IEM_Health-CovidProject,1,2
24,epiforecasts-EpiNow2,2,2
25,IEM_Health-CovidProject,1,2
25,PL_GRedlarski-DistrictsSum,2,2
26,IEM_Health-CovidProject,1,2
26,MUNI-ARIMA,2,2
27,IEM_Health-CovidProject,1,2
27,RobertWalraven-ESG,2,2
28,ILM-EKF,1,2
28,ITWW-county_repro,2,2
29,ILM-EKF,1,2
29,MIT_CovidAnalytics-DELPHI,2,2
30,ILM-EKF,1,2
30,MOCOS-agent1,2,2
31,ILM-EKF,1,2
31,epiforecasts-EpiNow2,2,2
32,ILM-EKF,1,2
32,PL_GRedlarski-DistrictsSum,2,2
33,ILM-EKF,1,2
33,MUNI-ARIMA,2,2
34,ILM-EKF,1,2
34,RobertWalraven-ESG,2,2
35,ITWW-county_repro,1,2
35,MIT_CovidAnalytics-DELPHI,2,2
36,ITWW-county_repro,1,2
36,MOCOS-agent1,2,2
37,ITWW-county_repro,1,2
37,epiforecasts-EpiNow2,2,2
38,ITWW-county_repro,1,2
38,PL_GRedlarski-DistrictsSum,2,2
39,ITWW-county_repro,1,2
39,MUNI-ARIMA,2,2
40,ITWW-county_repro,1,2
40,RobertWalraven-ESG,2,2
41,MIT_CovidAnalytics-DELPHI,1,2
41,MOCOS-agent1,2,2
42,MIT_CovidAnalytics-DELPHI,1,2
42,epiforecasts-EpiNow2,2,2
43,MIT_CovidAnalytics-DELPHI,1,2
43,PL_GRedlarski-DistrictsSum,2,2
44,MIT_CovidAnalytics-DELPHI,1,2
44,MUNI-ARIMA,2,2
45,MIT_CovidAnalytics-DELPHI,1,2
45,RobertWalraven-ESG,2,2
46,MOCOS-agent1,1,2
46,epiforecasts-EpiNow2,2,2
47,MOCOS-agent1,1,2
47,PL_GRedlarski-DistrictsSum,2,2
48,MOCOS-agent1,1,2
48,MUNI-ARIMA,2,2
49,MOCOS-agent1,1,2
49,RobertWalraven-ESG,2,2
50,epiforecasts-EpiNow2,1,2
50,PL_GRedlarski-DistrictsSum,2,2
51,epiforecasts-EpiNow2,1,2
51,MUNI-ARIMA,2,2
52,epiforecasts-EpiNow2,1,2
52,RobertWalraven-ESG,2,2
53,PL_GRedlarski-DistrictsSum,1,2
53,MUNI-ARIMA,2,2
54,PL_GRedlarski-DistrictsSum,1,2
54,RobertWalraven-ESG,2,2
55,MUNI-ARIMA,1,2
55,RobertWalraven-ESG,2,2
