ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,7
1,ICM-agentModel,2,7
1,IEM_Health-CovidProject,3,7
1,ILM-EKF,4,7
1,ITWW-county_repro,5,7
1,MIT_CovidAnalytics-DELPHI,6,7
1,MOCOS-agent1,7,7
2,EuroCOVIDhub-baseline,1,7
2,ICM-agentModel,2,7
2,IEM_Health-CovidProject,3,7
2,ILM-EKF,4,7
2,ITWW-county_repro,5,7
2,MIT_CovidAnalytics-DELPHI,6,7
2,epiforecasts-EpiNow2,7,7
3,EuroCOVIDhub-baseline,1,7
3,ICM-agentModel,2,7
3,IEM_Health-CovidProject,3,7
3,ILM-EKF,4,7
3,ITWW-county_repro,5,7
3,MIT_CovidAnalytics-DELPHI,6,7
3,PL_GRedlarski-DistrictsSum,7,7
4,EuroCOVIDhub-baseline,1,7
4,ICM-agentModel,2,7
4,IEM_Health-CovidProject,3,7
4,ILM-EKF,4,7
4,ITWW-county_repro,5,7
4,MIT_CovidAnalytics-DELPHI,6,7
4,MUNI-ARIMA,7,7
5,EuroCOVIDhub-baseline,1,7
5,ICM-agentModel,2,7
5,IEM_Health-CovidProject,3,7
5,ILM-EKF,4,7
5,ITWW-county_repro,5,7
5,MIT_CovidAnalytics-DELPHI,6,7
5,RobertWalraven-ESG,7,7
6,EuroCOVIDhub-baseline,1,7
6,ICM-agentModel,2,7
6,IEM_Health-CovidProject,3,7
6,ILM-EKF,4,7
6,ITWW-county_repro,5,7
6,MOCOS-agent1,6,7
6,epiforecasts-EpiNow2,7,7
7,EuroCOVIDhub-baseline,1,7
7,ICM-agentModel,2,7
7,IEM_Health-CovidProject,3,7
7,ILM-EKF,4,7
7,ITWW-county_repro,5,7
7,MOCOS-agent1,6,7
7,PL_GRedlarski-DistrictsSum,7,7
8,EuroCOVIDhub-baseline,1,7
8,ICM-agentModel,2,7
8,IEM_Health-CovidProject,3,7
8,ILM-EKF,4,7
8,ITWW-county_repro,5,7
8,MOCOS-agent1,6,7
8,MUNI-ARIMA,7,7
9,EuroCOVIDhub-baseline,1,7
9,ICM-agentModel,2,7
9,IEM_Health-CovidProject,3,7
9,ILM-EKF,4,7
9,ITWW-county_repro,5,7
9,MOCOS-agent1,6,7
9,RobertWalraven-ESG,7,7
10,EuroCOVIDhub-baseline,1,7
10,ICM-agentModel,2,7
10,IEM_Health-CovidProject,3,7
10,ILM-EKF,4,7
10,ITWW-county_repro,5,7
10,epiforecasts-EpiNow2,6,7
10,PL_GRedlarski-DistrictsSum,7,7
11,EuroCOVIDhub-baseline,1,7
11,ICM-agentModel,2,7
11,IEM_Health-CovidProject,3,7
11,ILM-EKF,4,7
11,ITWW-county_repro,5,7
11,epiforecasts-EpiNow2,6,7
11,MUNI-ARIMA,7,7
12,EuroCOVIDhub-baseline,1,7
12,ICM-agentModel,2,7
12,IEM_Health-CovidProject,3,7
12,ILM-EKF,4,7
12,ITWW-county_repro,5,7
12,epiforecasts-EpiNow2,6,7
12,RobertWalraven-ESG,7,7
13,EuroCOVIDhub-baseline,1,7
13,ICM-agentModel,2,7
13,IEM_Health-CovidProject,3,7
