k,loctarg,nens
2,DECases,90
3,DECases,646
4,DECases,2124
5,DECases,5021
6,DECases,8754
7,DECases,11366
8,DECases,21975
9,DECases,20275
10,DECases,14288
11,DECases,7492
12,DECases,5852
13,DECases,2086
14,DECases,512
2,DEDeaths,78
3,DEDeaths,530
4,DEDeaths,1618
5,DEDeaths,3552
6,DEDeaths,5787
7,DEDeaths,7116
8,DEDeaths,11835
9,DEDeaths,9934
10,DEDeaths,6412
11,DEDeaths,3126
12,DEDeaths,1820
13,DEDeaths,560
14,DEDeaths,120
2,PLCases,55
3,PLCases,418
4,PLCases,1140
5,PLCases,2150
6,PLCases,2840
7,PLCases,2622
8,PLCases,5478
9,PLCases,3751
10,PLCases,1813
11,PLCases,573
12,PLCases,435
13,PLCases,90
14,PLCases,9
2,PLDeaths,55
3,PLDeaths,484
4,PLDeaths,1366
5,PLDeaths,2695
6,PLDeaths,3802
7,PLDeaths,3857
8,PLDeaths,9025
9,PLDeaths,6602
10,PLDeaths,3496
11,PLDeaths,1274
12,PLDeaths,1255
13,PLDeaths,298
14,PLDeaths,40
