location,forecast_date,quantile,horizon,target_type,model,prediction,true_value,availability,model_type,target_end_date,population,period_cat
CZ,2021-04-12,0.01,1,Cases,mean_ensemble,11062.6,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.01,1,Deaths,mean_ensemble,385.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.01,2,Cases,mean_ensemble,6424.4,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.01,2,Deaths,mean_ensemble,252,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.01,3,Cases,mean_ensemble,3891,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.01,3,Deaths,mean_ensemble,139.5,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.01,4,Cases,mean_ensemble,2560.8,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.01,4,Deaths,mean_ensemble,59.75,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.025,1,Cases,mean_ensemble,12374.2,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.025,1,Deaths,mean_ensemble,424.75,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.025,2,Cases,mean_ensemble,7637.2,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.025,2,Deaths,mean_ensemble,288.5,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.025,3,Cases,mean_ensemble,4873.4,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.025,3,Deaths,mean_ensemble,170.5,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.025,4,Cases,mean_ensemble,3320.6,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.025,4,Deaths,mean_ensemble,87.25,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.05,1,Cases,mean_ensemble,13656.2,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.05,1,Deaths,mean_ensemble,459.75,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.05,2,Cases,mean_ensemble,8755.8,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.05,2,Deaths,mean_ensemble,319.25,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.05,3,Cases,mean_ensemble,5804,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.05,3,Deaths,mean_ensemble,198.25,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.05,4,Cases,mean_ensemble,4107.6,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.05,4,Deaths,mean_ensemble,111.5,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.1,1,Cases,mean_ensemble,15299.8,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.1,1,Deaths,mean_ensemble,500.75,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.1,2,Cases,mean_ensemble,10261.6,17727,1,ensemble,2021-04-24,10591323,1
