location,forecast_date,quantile,horizon,target_type,model,prediction,true_value,availability,model_type,target_end_date,population,period_cat
AT,2021-04-12,0.01,1,Cases,weighted.mean_ensemble,12433.2422364622,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.01,1,Deaths,weighted.mean_ensemble,116.282872581556,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.01,2,Cases,weighted.mean_ensemble,8828.72068431315,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.01,2,Deaths,weighted.mean_ensemble,100.370110871023,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.025,1,Cases,weighted.mean_ensemble,13055.347291531,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.025,1,Deaths,weighted.mean_ensemble,129.786040255701,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.025,2,Cases,weighted.mean_ensemble,9535.54896130107,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.025,2,Deaths,weighted.mean_ensemble,113.193512537945,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.05,1,Cases,weighted.mean_ensemble,13619.9513963601,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.05,1,Deaths,weighted.mean_ensemble,141.889492163335,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.05,2,Cases,weighted.mean_ensemble,10225.2113415495,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.05,2,Deaths,weighted.mean_ensemble,127.024135283554,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.1,1,Cases,weighted.mean_ensemble,14318.3418878164,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.1,1,Deaths,weighted.mean_ensemble,157.704787021174,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.1,2,Cases,weighted.mean_ensemble,11081.1893298566,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.1,2,Deaths,weighted.mean_ensemble,143.807353198411,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.15,1,Cases,weighted.mean_ensemble,14841.2902483609,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.15,1,Deaths,weighted.mean_ensemble,168.408523162296,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.15,2,Cases,weighted.mean_ensemble,11802.0297347065,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.15,2,Deaths,weighted.mean_ensemble,155.302414063472,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.2,1,Cases,weighted.mean_ensemble,15246.5477437284,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.2,1,Deaths,weighted.mean_ensemble,178.648389650942,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.2,2,Cases,weighted.mean_ensemble,12313.2586482972,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.2,2,Deaths,weighted.mean_ensemble,165.581578573787,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.25,1,Cases,weighted.mean_ensemble,15611.7943870537,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.25,1,Deaths,weighted.mean_ensemble,186.527838394745,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.25,2,Cases,weighted.mean_ensemble,12824.8340172859,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.25,2,Deaths,weighted.mean_ensemble,173.965080722132,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.3,1,Cases,weighted.mean_ensemble,15968.2438122687,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.3,1,Deaths,weighted.mean_ensemble,194.231574535867,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.3,2,Cases,weighted.mean_ensemble,13273.8950851068,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.3,2,Deaths,weighted.mean_ensemble,182.564479225224,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.35,1,Cases,weighted.mean_ensemble,16308.2969623585,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.35,1,Deaths,weighted.mean_ensemble,202.183283974719,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.35,2,Cases,weighted.mean_ensemble,13736.8751908602,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.35,2,Deaths,weighted.mean_ensemble,191.411851026045,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.4,1,Cases,weighted.mean_ensemble,16639.5850809193,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.4,1,Deaths,weighted.mean_ensemble,209.919097058823,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.4,2,Cases,weighted.mean_ensemble,14191.385694046,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.4,2,Deaths,weighted.mean_ensemble,200.011249529137,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.45,1,Cases,weighted.mean_ensemble,16971.2896212491,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.45,1,Deaths,weighted.mean_ensemble,216.798545802626,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.45,2,Cases,weighted.mean_ensemble,14690.7469040087,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.45,2,Deaths,weighted.mean_ensemble,208.642724975212,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.5,1,Cases,weighted.mean_ensemble,17318.0825616037,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.5,1,Deaths,weighted.mean_ensemble,224.67799454643,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.5,2,Cases,weighted.mean_ensemble,15179.2675699289,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.5,2,Deaths,weighted.mean_ensemble,217.953966428509,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.55,1,Cases,weighted.mean_ensemble,17669.1517096242,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.55,1,Deaths,weighted.mean_ensemble,232.373623878469,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.55,2,Cases,weighted.mean_ensemble,15634.1607407117,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.55,2,Deaths,weighted.mean_ensemble,226.081388470042,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.6,1,Cases,weighted.mean_ensemble,18018.1775111534,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.6,1,Deaths,weighted.mean_ensemble,240.853356855761,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.6,2,Cases,weighted.mean_ensemble,16154.9946329525,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.6,2,Deaths,weighted.mean_ensemble,236.240887454556,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.65,1,Cases,weighted.mean_ensemble,18372.8937570465,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.65,1,Deaths,weighted.mean_ensemble,249.260829138005,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.65,2,Cases,weighted.mean_ensemble,16683.23074846,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.65,2,Deaths,weighted.mean_ensemble,245.864256091548,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.7,1,Cases,weighted.mean_ensemble,18747.9415970343,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.7,1,Deaths,weighted.mean_ensemble,260.556742703532,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.7,2,Cases,weighted.mean_ensemble,17281.7214804945,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.7,2,Deaths,weighted.mean_ensemble,256.911310628949,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.75,1,Cases,weighted.mean_ensemble,19153.8758162921,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.75,1,Deaths,weighted.mean_ensemble,271.5243154672,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.75,2,Cases,weighted.mean_ensemble,17919.1889614133,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.75,2,Deaths,weighted.mean_ensemble,270.526572456857,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.8,1,Cases,weighted.mean_ensemble,19624.5605136434,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.8,1,Deaths,weighted.mean_ensemble,285.556042116831,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.8,2,Cases,weighted.mean_ensemble,18627.8303286299,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.8,2,Deaths,weighted.mean_ensemble,286.453961468459,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.85,1,Cases,weighted.mean_ensemble,20214.7253312303,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.85,1,Deaths,weighted.mean_ensemble,301.219244212537,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.85,2,Cases,weighted.mean_ensemble,19593.9197996615,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.85,2,Deaths,weighted.mean_ensemble,306.980748983152,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.9,1,Cases,weighted.mean_ensemble,20918.5042742119,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.9,1,Deaths,weighted.mean_ensemble,323.578075640282,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.9,2,Cases,weighted.mean_ensemble,20872.5346044733,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.9,2,Deaths,weighted.mean_ensemble,333.731189368326,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.95,1,Cases,weighted.mean_ensemble,22109.6353685953,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.95,1,Deaths,weighted.mean_ensemble,364.560811142064,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.95,2,Cases,weighted.mean_ensemble,22751.8688453759,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.95,2,Deaths,weighted.mean_ensemble,381.184129870874,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.975,1,Cases,weighted.mean_ensemble,23068.9875160538,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.975,1,Deaths,weighted.mean_ensemble,410.07334164308,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.975,2,Cases,weighted.mean_ensemble,24526.599056253,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.975,2,Deaths,weighted.mean_ensemble,421.245111122643,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.99,1,Cases,weighted.mean_ensemble,24189.3048096288,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.99,1,Deaths,weighted.mean_ensemble,460.552208884016,250,1,ensemble,2021-04-17,8809212,1
