location,forecast_date,quantile,horizon,target_type,model,prediction,true_value,availability,model_type,target_end_date,population,period_cat
AT,2021-04-12,0.01,1,Cases,weighted.median_ensemble,11899,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.01,1,Deaths,weighted.median_ensemble,128,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.01,2,Cases,weighted.median_ensemble,8138.5,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.01,2,Deaths,weighted.median_ensemble,110,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.025,1,Cases,weighted.median_ensemble,12708.5,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.025,1,Deaths,weighted.median_ensemble,142.5,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.025,2,Cases,weighted.median_ensemble,8718.5,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.025,2,Deaths,weighted.median_ensemble,119.25,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.05,1,Cases,weighted.median_ensemble,13201.5,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.05,1,Deaths,weighted.median_ensemble,150,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.05,2,Cases,weighted.median_ensemble,9320.5,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.05,2,Deaths,weighted.median_ensemble,119.25,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.1,1,Cases,weighted.median_ensemble,13846.5,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.1,1,Deaths,weighted.median_ensemble,150,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.1,2,Cases,weighted.median_ensemble,10192.5,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.1,2,Deaths,weighted.median_ensemble,132,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.15,1,Cases,weighted.median_ensemble,14305.5,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.15,1,Deaths,weighted.median_ensemble,157.5,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.15,2,Cases,weighted.median_ensemble,10857,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.15,2,Deaths,weighted.median_ensemble,144,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.2,1,Cases,weighted.median_ensemble,14696,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.2,1,Deaths,weighted.median_ensemble,169,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.2,2,Cases,weighted.median_ensemble,11394.5,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.2,2,Deaths,weighted.median_ensemble,155,236,1,ensemble,2021-04-24,8809212,1
