location,forecast_date,quantile,horizon,target_type,model,prediction,true_value,availability,model_type,target_end_date,population,period_cat
AT,2021-04-12,0.01,1,Cases,mean_ensemble,12335.3333333333,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.01,1,Deaths,mean_ensemble,109.666666666667,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.01,2,Cases,mean_ensemble,8774.33333333334,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.01,2,Deaths,mean_ensemble,95.3333333333333,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.025,1,Cases,mean_ensemble,12994.3333333333,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.025,1,Deaths,mean_ensemble,124.333333333333,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.025,2,Cases,mean_ensemble,9522,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.025,2,Deaths,mean_ensemble,109,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.05,1,Cases,mean_ensemble,13588,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.05,1,Deaths,mean_ensemble,137.333333333333,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.05,2,Cases,mean_ensemble,10245.6666666667,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.05,2,Deaths,mean_ensemble,124.666666666667,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.1,1,Cases,mean_ensemble,14317.6666666667,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.1,1,Deaths,mean_ensemble,154.333333333333,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.1,2,Cases,mean_ensemble,11133,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.1,2,Deaths,mean_ensemble,142.666666666667,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.15,1,Cases,mean_ensemble,14863.6666666667,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.15,1,Deaths,mean_ensemble,165.666666666667,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.15,2,Cases,mean_ensemble,11877,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.15,2,Deaths,mean_ensemble,155.666666666667,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.2,1,Cases,mean_ensemble,15286.3333333333,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.2,1,Deaths,mean_ensemble,176.333333333333,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.2,2,Cases,mean_ensemble,12409.6666666667,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.2,2,Deaths,mean_ensemble,167.333333333333,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.25,1,Cases,mean_ensemble,15665.6666666667,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.25,1,Deaths,mean_ensemble,185.333333333333,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.25,2,Cases,mean_ensemble,12939,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.25,2,Deaths,mean_ensemble,176.666666666667,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.3,1,Cases,mean_ensemble,16035,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.3,1,Deaths,mean_ensemble,193.666666666667,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.3,2,Cases,mean_ensemble,13405.6666666667,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.3,2,Deaths,mean_ensemble,186.333333333333,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.35,1,Cases,mean_ensemble,16388.3333333333,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.35,1,Deaths,mean_ensemble,202.333333333333,250,1,ensemble,2021-04-17,8809212,1
