location,forecast_date,quantile,horizon,target_type,model,prediction,true_value,availability,model_type,target_end_date,population,period_cat
AT,2021-04-12,0.01,1,Cases,mean_ensemble,12335.3333333333,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.01,1,Deaths,mean_ensemble,109.666666666667,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.01,2,Cases,mean_ensemble,8774.33333333334,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.01,2,Deaths,mean_ensemble,95.3333333333333,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.01,3,Cases,mean_ensemble,6199.66666666667,13927,1,ensemble,2021-05-01,8809212,1
AT,2021-04-12,0.01,3,Deaths,mean_ensemble,76.6666666666667,176,1,ensemble,2021-05-01,8809212,1
AT,2021-04-12,0.01,4,Cases,mean_ensemble,4442,10270,1,ensemble,2021-05-08,8809212,1
AT,2021-04-12,0.01,4,Deaths,mean_ensemble,57.6666666666667,174,1,ensemble,2021-05-08,8809212,1
AT,2021-04-12,0.025,1,Cases,mean_ensemble,12994.3333333333,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.025,1,Deaths,mean_ensemble,124.333333333333,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.025,2,Cases,mean_ensemble,9522,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.025,2,Deaths,mean_ensemble,109,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.025,3,Cases,mean_ensemble,6943.33333333333,13927,1,ensemble,2021-05-01,8809212,1
AT,2021-04-12,0.025,3,Deaths,mean_ensemble,90.3333333333333,176,1,ensemble,2021-05-01,8809212,1
AT,2021-04-12,0.025,4,Cases,mean_ensemble,5104.33333333333,10270,1,ensemble,2021-05-08,8809212,1
AT,2021-04-12,0.025,4,Deaths,mean_ensemble,73,174,1,ensemble,2021-05-08,8809212,1
AT,2021-04-12,0.05,1,Cases,mean_ensemble,13588,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.05,1,Deaths,mean_ensemble,137.333333333333,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.05,2,Cases,mean_ensemble,10245.6666666667,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.05,2,Deaths,mean_ensemble,124.666666666667,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.05,3,Cases,mean_ensemble,7693.33333333333,13927,1,ensemble,2021-05-01,8809212,1
AT,2021-04-12,0.05,3,Deaths,mean_ensemble,107.333333333333,176,1,ensemble,2021-05-01,8809212,1
AT,2021-04-12,0.05,4,Cases,mean_ensemble,5797.33333333333,10270,1,ensemble,2021-05-08,8809212,1
AT,2021-04-12,0.05,4,Deaths,mean_ensemble,89.3333333333333,174,1,ensemble,2021-05-08,8809212,1
AT,2021-04-12,0.1,1,Cases,mean_ensemble,14317.6666666667,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.1,1,Deaths,mean_ensemble,154.333333333333,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.1,2,Cases,mean_ensemble,11133,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.1,2,Deaths,mean_ensemble,142.666666666667,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.1,3,Cases,mean_ensemble,8599.66666666667,13927,1,ensemble,2021-05-01,8809212,1
AT,2021-04-12,0.1,3,Deaths,mean_ensemble,124.666666666667,176,1,ensemble,2021-05-01,8809212,1
AT,2021-04-12,0.1,4,Cases,mean_ensemble,6678,10270,1,ensemble,2021-05-08,8809212,1
AT,2021-04-12,0.1,4,Deaths,mean_ensemble,108.333333333333,174,1,ensemble,2021-05-08,8809212,1
AT,2021-04-12,0.15,1,Cases,mean_ensemble,14863.6666666667,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.15,1,Deaths,mean_ensemble,165.666666666667,250,1,ensemble,2021-04-17,8809212,1
