location,forecast_date,quantile,horizon,target_type,model,prediction,true_value,availability,model_type,target_end_date,population,period_cat
AT,2021-04-12,0.01,1,Cases,median_ensemble,12578,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.01,1,Deaths,median_ensemble,122,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.01,2,Cases,median_ensemble,8799,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.01,2,Deaths,median_ensemble,106,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.01,3,Cases,median_ensemble,5673,13927,1,ensemble,2021-05-01,8809212,1
AT,2021-04-12,0.01,3,Deaths,median_ensemble,81,176,1,ensemble,2021-05-01,8809212,1
AT,2021-04-12,0.01,4,Cases,median_ensemble,3583,10270,1,ensemble,2021-05-08,8809212,1
AT,2021-04-12,0.01,4,Deaths,median_ensemble,48,174,1,ensemble,2021-05-08,8809212,1
AT,2021-04-12,0.025,1,Cases,median_ensemble,13368,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.025,1,Deaths,median_ensemble,140,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.025,2,Cases,median_ensemble,9006,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.025,2,Deaths,median_ensemble,122,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.025,3,Cases,median_ensemble,5878,13927,1,ensemble,2021-05-01,8809212,1
AT,2021-04-12,0.025,3,Deaths,median_ensemble,92,176,1,ensemble,2021-05-01,8809212,1
AT,2021-04-12,0.025,4,Cases,median_ensemble,3904,10270,1,ensemble,2021-05-08,8809212,1
AT,2021-04-12,0.025,4,Deaths,median_ensemble,62,174,1,ensemble,2021-05-08,8809212,1
AT,2021-04-12,0.05,1,Cases,median_ensemble,13592,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.05,1,Deaths,median_ensemble,154,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.05,2,Cases,median_ensemble,9347,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.05,2,Deaths,median_ensemble,135,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.05,3,Cases,median_ensemble,6684,13927,1,ensemble,2021-05-01,8809212,1
AT,2021-04-12,0.05,3,Deaths,median_ensemble,104,176,1,ensemble,2021-05-01,8809212,1
AT,2021-04-12,0.05,4,Cases,median_ensemble,4747,10270,1,ensemble,2021-05-08,8809212,1
AT,2021-04-12,0.05,4,Deaths,median_ensemble,73,174,1,ensemble,2021-05-08,8809212,1
AT,2021-04-12,0.1,1,Cases,median_ensemble,13943,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.1,1,Deaths,median_ensemble,168,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.1,2,Cases,median_ensemble,10527,16139,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.1,2,Deaths,median_ensemble,149,236,1,ensemble,2021-04-24,8809212,1
AT,2021-04-12,0.1,3,Cases,median_ensemble,7933,13927,1,ensemble,2021-05-01,8809212,1
AT,2021-04-12,0.1,3,Deaths,median_ensemble,114,176,1,ensemble,2021-05-01,8809212,1
AT,2021-04-12,0.1,4,Cases,median_ensemble,5947,10270,1,ensemble,2021-05-08,8809212,1
AT,2021-04-12,0.1,4,Deaths,median_ensemble,91,174,1,ensemble,2021-05-08,8809212,1
AT,2021-04-12,0.15,1,Cases,median_ensemble,14421,17997,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.15,1,Deaths,median_ensemble,177,250,1,ensemble,2021-04-17,8809212,1
AT,2021-04-12,0.15,2,Cases,median_ensemble,11406,16139,1,ensemble,2021-04-24,8809212,1
