model,location,target_type,weights,forecast_date,nmod
DSMPG-bayes,BE,Cases,0.31244771709896,2021-04-12,3
DSMPG-bayes,BG,Cases,0.284992114108825,2021-04-12,3
DSMPG-bayes,CY,Cases,0.326264794514933,2021-04-12,3
DSMPG-bayes,EE,Cases,0.265553351926985,2021-04-12,3
DSMPG-bayes,HU,Cases,0.277538385275723,2021-04-12,3
DSMPG-bayes,LT,Cases,0.408527132152902,2021-04-12,3
DSMPG-bayes,LV,Cases,0.393445929274771,2021-04-12,3
DSMPG-bayes,MT,Cases,0.289207517379354,2021-04-12,3
IEM_Health-CovidProject,AT,Cases,0.326926234874501,2021-04-12,3
IEM_Health-CovidProject,AT,Deaths,0.215896354746888,2021-04-12,3
IEM_Health-CovidProject,BE,Cases,0.347377275866395,2021-04-12,3
IEM_Health-CovidProject,BE,Deaths,0.351548669973048,2021-04-12,3
IEM_Health-CovidProject,BG,Cases,0.354976076661823,2021-04-12,3
IEM_Health-CovidProject,BG,Deaths,0.296827502415586,2021-04-12,3
IEM_Health-CovidProject,CY,Deaths,0.26800818613511,2021-04-12,3
IEM_Health-CovidProject,EE,Cases,0.188725808250033,2021-04-12,3
IEM_Health-CovidProject,EE,Deaths,0.318857599028362,2021-04-12,3
IEM_Health-CovidProject,ES,Cases,0.381624293437457,2021-04-12,3
IEM_Health-CovidProject,FI,Cases,0.357691907933522,2021-04-12,3
IEM_Health-CovidProject,FI,Deaths,0.322251471428678,2021-04-12,3
IEM_Health-CovidProject,GR,Cases,0.331894727256383,2021-04-12,3
IEM_Health-CovidProject,GR,Deaths,0.233857930065198,2021-04-12,3
IEM_Health-CovidProject,HR,Cases,0.363266012345115,2021-04-12,3
IEM_Health-CovidProject,HR,Deaths,0.223775723693191,2021-04-12,3
IEM_Health-CovidProject,HU,Deaths,0.361274066538312,2021-04-12,3
IEM_Health-CovidProject,LT,Cases,0.290840313221032,2021-04-12,3
IEM_Health-CovidProject,LT,Deaths,0.286921936043286,2021-04-12,3
IEM_Health-CovidProject,LV,Deaths,0.231316591346757,2021-04-12,3
IEM_Health-CovidProject,MT,Cases,0.239168366580096,2021-04-12,3
IEM_Health-CovidProject,MT,Deaths,0.291290473609642,2021-04-12,3
IEM_Health-CovidProject,NO,Cases,0.378508051787004,2021-04-12,3
IEM_Health-CovidProject,PT,Cases,0.236783743041527,2021-04-12,3
IEM_Health-CovidProject,PT,Deaths,0.363332289919792,2021-04-12,3
IEM_Health-CovidProject,RO,Cases,0.315005268119158,2021-04-12,3
IEM_Health-CovidProject,RO,Deaths,0.204330157040273,2021-04-12,3
IEM_Health-CovidProject,SI,Cases,0.295635997936253,2021-04-12,3
IEM_Health-CovidProject,SI,Deaths,0.287394713880203,2021-04-12,3
IEM_Health-CovidProject,SK,Cases,0.439855829264023,2021-04-12,3
IEM_Health-CovidProject,SK,Deaths,0.34625667966244,2021-04-12,3
ILM-EKF,AT,Cases,0.286113800586941,2021-04-12,3
ILM-EKF,AT,Deaths,0.247973297729199,2021-04-12,3
ILM-EKF,BE,Deaths,0.296206332863865,2021-04-12,3
ILM-EKF,BG,Deaths,0.219453014303039,2021-04-12,3
ILM-EKF,CY,Cases,0.399007909910754,2021-04-12,3
ILM-EKF,ES,Cases,0.275383227389933,2021-04-12,3
ILM-EKF,FI,Cases,0.296769228489377,2021-04-12,3
ILM-EKF,GR,Cases,0.360617564467696,2021-04-12,3
ILM-EKF,HR,Cases,0.311457469667338,2021-04-12,3
ILM-EKF,HR,Deaths,0.31079738535874,2021-04-12,3
ILM-EKF,HU,Cases,0.279616014403624,2021-04-12,3
ILM-EKF,HU,Deaths,0.328143928379472,2021-04-12,3
ILM-EKF,IT,Cases,0.25760284600629,2021-04-12,3
ILM-EKF,IT,Deaths,0.310843786870782,2021-04-12,3
ILM-EKF,LT,Cases,0.300632554626066,2021-04-12,3
ILM-EKF,LU,Deaths,0.271534081534351,2021-04-12,3
ILM-EKF,LV,Cases,0.243678900724423,2021-04-12,3
ILM-EKF,NO,Cases,0.260455933280612,2021-04-12,3
ILM-EKF,PT,Cases,0.357816572129773,2021-04-12,3
ILM-EKF,RO,Cases,0.300529875866014,2021-04-12,3
ILM-EKF,RO,Deaths,0.217070112624066,2021-04-12,3
ILM-EKF,SI,Cases,0.323889552289948,2021-04-12,3
ILM-EKF,SI,Deaths,0.28396585981419,2021-04-12,3
ILM-EKF,SK,Cases,0.308953409061618,2021-04-12,3
ILM-EKF,SK,Deaths,0.357608927400126,2021-04-12,3
RobertWalraven-ESG,BE,Deaths,0.352244997163087,2021-04-12,3
RobertWalraven-ESG,BG,Deaths,0.483719483281374,2021-04-12,3
RobertWalraven-ESG,CY,Deaths,0.386906002258514,2021-04-12,3
RobertWalraven-ESG,EE,Deaths,0.437969682591767,2021-04-12,3
RobertWalraven-ESG,FI,Deaths,0.382521579034702,2021-04-12,3
RobertWalraven-ESG,GR,Deaths,0.400441823117697,2021-04-12,3
RobertWalraven-ESG,HU,Deaths,0.310582005082215,2021-04-12,3
RobertWalraven-ESG,IT,Deaths,0.269130820658586,2021-04-12,3
RobertWalraven-ESG,LT,Deaths,0.327613487616902,2021-04-12,3
RobertWalraven-ESG,LU,Deaths,0.403846162113592,2021-04-12,3
