model,location,target_type,weights,forecast_date,nmod
DSMPG-bayes,BG,Cases,0.260538543347575,2021-04-12,3
DSMPG-bayes,CY,Cases,0.305355362643073,2021-04-12,3
DSMPG-bayes,EE,Cases,0.225536379887656,2021-04-12,3
DSMPG-bayes,HU,Cases,0.247946312832105,2021-04-12,3
DSMPG-bayes,LT,Cases,0.386405356308286,2021-04-12,3
DSMPG-bayes,LV,Cases,0.396258097029568,2021-04-12,3
DSMPG-bayes,MT,Cases,0.27558588068422,2021-04-12,3
IEM_Health-CovidProject,AT,Cases,0.322986831199108,2021-04-12,3
IEM_Health-CovidProject,AT,Deaths,0.22717444256852,2021-04-12,3
IEM_Health-CovidProject,BE,Cases,0.353642754704591,2021-04-12,3
IEM_Health-CovidProject,BG,Cases,0.436781039420746,2021-04-12,3
IEM_Health-CovidProject,BG,Deaths,0.277780194312012,2021-04-12,3
IEM_Health-CovidProject,CY,Deaths,0.271933233752678,2021-04-12,3
IEM_Health-CovidProject,EE,Cases,0.155226306161593,2021-04-12,3
IEM_Health-CovidProject,EE,Deaths,0.30202246912501,2021-04-12,3
IEM_Health-CovidProject,ES,Cases,0.314337838749095,2021-04-12,3
IEM_Health-CovidProject,FI,Cases,0.352734219831926,2021-04-12,3
IEM_Health-CovidProject,FI,Deaths,0.328373742823446,2021-04-12,3
IEM_Health-CovidProject,GR,Cases,0.333144633018244,2021-04-12,3
IEM_Health-CovidProject,GR,Deaths,0.215996574771524,2021-04-12,3
IEM_Health-CovidProject,HR,Cases,0.363573278289578,2021-04-12,3
IEM_Health-CovidProject,HR,Deaths,0.15016347793985,2021-04-12,3
IEM_Health-CovidProject,HU,Deaths,0.448792313808871,2021-04-12,3
IEM_Health-CovidProject,IT,Deaths,0.288327359078856,2021-04-12,3
IEM_Health-CovidProject,LT,Cases,0.306126967431822,2021-04-12,3
IEM_Health-CovidProject,LT,Deaths,0.301104279504767,2021-04-12,3
IEM_Health-CovidProject,LV,Deaths,0.232163482701215,2021-04-12,3
IEM_Health-CovidProject,MT,Cases,0.233376352329548,2021-04-12,3
IEM_Health-CovidProject,MT,Deaths,0.280911027789105,2021-04-12,3
IEM_Health-CovidProject,NO,Cases,0.390842937462283,2021-04-12,3
